density,temperature,delta_phi,substance
55878.78787878788,275,0.033922189919178,water
56439.39393939394,275,0.037796179699421,water
57000.0,275,0.0411679937832204,water
54757.57575757576,345,0.110896267824839,water
55318.18181818182,345,0.1101134206730168,water
55878.78787878788,345,0.1088748792807249,water
56439.39393939394,345,0.1071478927091693,water
57000.0,345,0.1048992027106835,water
51393.93939393939,415,0.1433388253384224,water
51954.545454545456,415,0.1410118749935005,water
52515.15151515152,415,0.1382527856068365,water
53075.757575757576,415,0.1350360190013657,water
53636.36363636364,415,0.1313342074633767,water
54196.969696969696,415,0.127118228425219,water
54757.57575757576,415,0.1223572485147459,water
55318.18181818182,415,0.1170187453859158,water
55878.78787878788,415,0.1110685144324269,water
56439.39393939394,415,0.1044706659560847,water
57000.0,415,0.0971876167775261,water
47469.69696969697,485,0.1203484845783219,water
48030.30303030303,485,0.1188005698084387,water
48590.909090909096,485,0.1167734210490707,water
49151.51515151515,485,0.1142530678898353,water
49712.121212121216,485,0.111223267742455,water
50272.72727272727,485,0.1076655922599835,water
50833.333333333336,485,0.1035594866315392,water
51393.93939393939,485,0.0988823068393602,water
51954.545454545456,485,0.0936093398838255,water
52515.15151515152,485,0.087713811732744,water
53075.757575757576,485,0.0811668872654438,water
53636.36363636364,485,0.073937665789286,water
54196.969696969696,485,0.0659931748821784,water
54757.57575757576,485,0.0572983644345559,water
55318.18181818182,485,0.0478161019024711,water
55878.78787878788,485,0.0375071689894807,water
56439.39393939394,485,0.0263302592868095,water
57000.0,485,0.014241975837609,water
1500.0,555,0.5808191402017829,water
41863.63636363637,555,0.018442069723066,water
42424.24242424242,555,0.0211098782837236,water
42984.84848484849,555,0.0232309836913457,water
43545.454545454544,555,0.0248040573765608,water
44106.06060606061,555,0.0258255681265999,water
44666.66666666667,555,0.0262898992375495,water
45227.27272727273,555,0.0261894427103605,water
45787.87878787879,555,0.025514673323135,water
46348.48484848485,555,0.0242542036181926,water
46909.09090909091,555,0.022394820316291,water
47469.69696969697,555,0.0199215029063458,water
48030.30303030303,555,0.0168174257584907,water
48590.909090909096,555,0.0130639457773406,water
49151.51515151515,555,0.0086405781674721,water
49712.121212121216,555,0.0035249632271855,water
50272.72727272727,555,-0.0023071728147441,water
50833.333333333336,555,-0.0088820600351128,water
51393.93939393939,555,-0.0162279275635521,water
51954.545454545456,555,-0.0243750447420294,water
52515.15151515152,555,-0.0333557591467061,water
53075.757575757576,555,-0.0432045305086296,water
53636.36363636364,555,-0.053957960151924,water
54196.969696969696,555,-0.0656548161138017,water
54757.57575757576,555,-0.0783360545966628,water
55318.18181818182,555,-0.0920448388128022,water
55878.78787878788,555,-0.1068265566115915,water
56439.39393939394,555,-0.1227288385230322,water
57000.0,555,-0.1398015780152685,water
1500.0,625,-0.5684910602510554,water
2060.6060606060605,625,-0.7369189035081116,water
2621.212121212121,625,-0.8766700131309392,water
3181.818181818182,625,-0.9915212755349904,water
3742.4242424242425,625,-1.084723610535051,water
4303.030303030303,625,-1.1591094582094872,water
4863.636363636364,625,-1.2171671276041598,water
5424.242424242424,625,-1.2610940411802332,water
5984.848484848485,625,-1.2928363352887162,water
6545.454545454546,625,-1.3141196052177362,water
31772.727272727272,625,-0.2792406919320233,water
32333.333333333336,625,-0.2658211153211397,water
32893.93939393939,625,-0.2530702590246128,water
33454.545454545456,625,-0.2409724503463395,water
34015.15151515152,625,-0.2295145187558337,water
34575.757575757576,625,-0.2186854994489232,water
35136.36363636364,625,-0.2084763778697902,water
35696.969696969696,625,-0.1988798772955008,water
36257.57575757576,625,-0.1898902968832631,water
36818.181818181816,625,-0.1815034022772479,water
37378.78787878788,625,-0.1737163633274792,water
37939.39393939394,625,-0.1665277280037372,water
38500.0,625,-0.1599374194864234,water
39060.606060606064,625,-0.1539467442460896,water
39621.21212121212,625,-0.148558401583978,water
40181.81818181818,625,-0.1437764884974913,water
40742.42424242424,625,-0.1396064970479096,water
41303.030303030304,625,-0.136055304171124,water
41863.63636363637,625,-0.1331311558758113,water
42424.24242424242,625,-0.1308436489911077,water
42984.84848484849,625,-0.1292037141261489,water
43545.454545454544,625,-0.1282236034190539,water
44106.06060606061,625,-0.1279168861290065,water
44666.66666666667,625,-0.1282984543226976,water
45227.27272727273,625,-0.1293845399650489,water
45787.87878787879,625,-0.1311927437709904,water
46348.48484848485,625,-0.133742075302891,water
