density,temperature,TPSA,Molecular_Weight,LogP,delta_phi
56000.0,280,31.5,18.015,-0.8247,0.0252285425488747
54868.686888888886,330,31.5,18.015,-0.8247,0.0593111904080271
55434.34344444444,330,31.5,18.015,-0.8247,0.0600306371013134
56000.0,330,31.5,18.015,-0.8247,0.0600484711622761
53171.71722222221,380,31.5,18.015,-0.8247,0.0786119700866746
53737.37377777777,380,31.5,18.015,-0.8247,0.076749798328754
54303.03033333333,380,31.5,18.015,-0.8247,0.0741242902351858
54868.686888888886,380,31.5,18.015,-0.8247,0.0706867608330251
55434.34344444444,380,31.5,18.015,-0.8247,0.0663860836705118
56000.0,380,31.5,18.015,-0.8247,0.0611686291464814
50909.09099999999,430,31.5,18.015,-0.8247,0.0832364901537181
51474.74755555555,430,31.5,18.015,-0.8247,0.0800558649670364
52040.40411111111,430,31.5,18.015,-0.8247,0.0760694802485383
52606.06066666666,430,31.5,18.015,-0.8247,0.0712324410528878
53171.71722222221,430,31.5,18.015,-0.8247,0.0654967969212888
53737.37377777777,430,31.5,18.015,-0.8247,0.0588115197019861
54303.03033333333,430,31.5,18.015,-0.8247,0.0511224539534466
54868.686888888886,430,31.5,18.015,-0.8247,0.0423722455849976
55434.34344444444,430,31.5,18.015,-0.8247,0.0325002533451547
56000.0,430,31.5,18.015,-0.8247,0.0214424465611404
48080.808222222215,480,31.5,18.015,-0.8247,0.0713394981845151
48646.46477777777,480,31.5,18.015,-0.8247,0.0683455080184946
49212.12133333333,480,31.5,18.015,-0.8247,0.0645294667189297
49777.777888888886,480,31.5,18.015,-0.8247,0.0598539680601108
50343.43444444444,480,31.5,18.015,-0.8247,0.0542783996841759
50909.09099999999,480,31.5,18.015,-0.8247,0.0477589358640111
51474.74755555555,480,31.5,18.015,-0.8247,0.0402485046011662
52040.40411111111,480,31.5,18.015,-0.8247,0.0316967332848355
52606.06066666666,480,31.5,18.015,-0.8247,0.0220498768904721
53171.71722222221,480,31.5,18.015,-0.8247,0.0112507322383007
53737.37377777777,480,31.5,18.015,-0.8247,-0.0007614588221735
54303.03033333333,480,31.5,18.015,-0.8247,-0.0140511152235626
54868.686888888886,480,31.5,18.015,-0.8247,-0.0286864302570738
55434.34344444444,480,31.5,18.015,-0.8247,-0.0447394925258025
56000.0,480,31.5,18.015,-0.8247,-0.0622864146723725
565.6575555555555,530,31.5,18.015,-0.8247,0.9743834928105672
1131.314111111111,530,31.5,18.015,-0.8247,0.3675724853530993
44121.21233333333,530,31.5,18.015,-0.8247,0.0369541969614665
44686.86888888889,530,31.5,18.015,-0.8247,0.0364686823025822
45252.52544444444,530,31.5,18.015,-0.8247,0.0351929099868347
45818.18199999999,530,31.5,18.015,-0.8247,0.0331013859129702
46383.83855555555,530,31.5,18.015,-0.8247,0.0301655808853481
46949.49511111111,530,31.5,18.015,-0.8247,0.0263539684187369
47515.151666666665,530,31.5,18.015,-0.8247,0.0216320361180388
48080.808222222215,530,31.5,18.015,-0.8247,0.015962272792828
48646.46477777777,530,31.5,18.015,-0.8247,0.0093041332161062
49212.12133333333,530,31.5,18.015,-0.8247,0.001613982660947
49777.777888888886,530,31.5,18.015,-0.8247,-0.0071549763202144
50343.43444444444,530,31.5,18.015,-0.8247,-0.0170527921810921
50909.09099999999,530,31.5,18.015,-0.8247,-0.0281328650100409
51474.74755555555,530,31.5,18.015,-0.8247,-0.040452056967182
52040.40411111111,530,31.5,18.015,-0.8247,-0.0540708103726593
52606.06066666666,530,31.5,18.015,-0.8247,-0.0690532718063535
53171.71722222221,530,31.5,18.015,-0.8247,-0.085467421183529
53737.37377777777,530,31.5,18.015,-0.8247,-0.1033852054094017
54303.03033333333,530,31.5,18.015,-0.8247,-0.1228826768475112
54868.686888888886,530,31.5,18.015,-0.8247,-0.1440401374271189
55434.34344444444,530,31.5,18.015,-0.8247,-0.1669422897453228
56000.0,530,31.5,18.015,-0.8247,-0.191678396974358
0.001,580,31.5,18.015,-0.8247,0.5527736580559819
565.6575555555555,580,31.5,18.015,-0.8247,0.1757337052211976
1131.314111111111,580,31.5,18.015,-0.8247,-0.1357347869125049
