density,temperature,delta_phi,substance
0.001,140,-0.3150980989559056,methane
117.05785284280938,140,-0.3187610389890365,methane
234.1147056856188,140,-0.321448359144204,methane
351.17155852842814,140,-0.3234565229692258,methane
468.2284113712375,140,-0.3250765506949818,methane
585.2852642140468,140,-0.3265939725465739,methane
23528.42842140469,140,-0.015087479063425,methane
23645.48527424749,140,-0.0151042130545907,methane
23762.542127090303,140,-0.0151255563398757,methane
23879.598979933115,140,-0.0151510599302523,methane
23996.655832775923,140,-0.0151802945941936,methane
24113.71268561873,140,-0.0152128498161605,methane
24230.76953846154,140,-0.0152483328819261,methane
24347.826391304352,140,-0.0152863680840275,methane
24464.88324414716,140,-0.0153265960407645,methane
24581.94009698997,140,-0.0153686731223819,methane
24698.996949832777,140,-0.0154122709781323,methane
24816.05380267559,140,-0.0154570761581421,methane
24933.1106555184,140,-0.015502789824119,methane
25050.167508361206,140,-0.0155491275431267,methane
25167.22436120401,140,-0.0155958191588172,methane
25284.281214046827,140,-0.0156426087347066,methane
25401.338066889635,140,-0.0156892545643112,methane
25518.394919732444,140,-0.0157355292430976,methane
25635.45177257525,140,-0.0157812197975042,methane
25752.508625418064,140,-0.0158261278664898,methane
25869.565478260876,140,-0.01587006993126,methane
25986.62233110368,140,-0.0159128775891644,methane
26103.67918394649,140,-0.0159543978678907,methane
26220.7360367893,140,-0.0159944935764216,methane
26337.79288963211,140,-0.016033043689411,methane
26454.84974247492,140,-0.0160699437619054,methane
26571.90659531773,140,-0.0161051063715681,methane
26688.96344816054,140,-0.0161384615858469,methane
26806.020301003347,140,-0.0161699574516397,methane
26923.07715384616,140,-0.0161995605053871,methane
27040.134006688968,140,-0.0162272563016291,methane
27157.190859531776,140,-0.0162530499582814,methane
27274.247712374585,140,-0.0162769667171297,methane
27391.304565217397,140,-0.0162990525181752,methane
27508.361418060205,140,-0.0163193745866523,methane
27625.418270903014,140,-0.0163380220317096,methane
27742.475123745822,140,-0.0163551064559042,methane
27859.53197658863,140,-0.0163707625747461,methane
27976.588829431443,140,-0.0163851488457558,methane
28093.64568227425,140,-0.0163984481065266,methane
28210.70253511706,140,-0.0164108682214254,methane
28327.759387959868,140,-0.0164226427367074,methane
28444.81624080268,140,-0.0164340315438633,methane
28561.87309364549,140,-0.0164453215510885,methane
28678.929946488297,140,-0.0164568273629238,methane
28795.986799331105,140,-0.0164688919680984,methane
28913.04365217392,140,-0.0164818874357393,methane
29030.10050501673,140,-0.0164962156200857,methane
29147.15735785953,140,-0.0165123088740474,methane
29264.214210702343,140,-0.0165306307717879,methane
29381.271063545155,140,-0.016551676840785,methane
29498.327916387963,140,-0.0165759753036902,methane
29615.38476923077,140,-0.0166040878304084,methane
29732.44162207358,140,-0.0166366103009034,methane
29849.498474916392,140,-0.0166741735791633,methane
29966.5553277592,140,-0.0167174442989174,methane
30083.61218060201,140,-0.0167671256615878,methane
30200.66903344482,140,-0.016823958247139,methane
30317.72588628763,140,-0.0168887208383728,methane
30434.78273913044,140,-0.0169622312593427,methane
30551.839591973247,140,-0.0170453472285599,methane
30668.89644481606,140,-0.0171389672276679,methane
30785.953297658867,140,-0.0172440313863202,methane
30903.01015050168,140,-0.01736152238399,methane
31020.067003344484,140,-0.0174924663695312,methane
31137.123856187296,140,-0.0176379338992118,methane
31254.180709030104,140,-0.0177990408941618,methane
31371.237561872917,140,-0.0179769496179751,methane
31488.29441471572,140,-0.018172869675435,methane
31605.351267558533,140,-0.0183880590332445,methane
31722.408120401346,140,-0.0186238250637318,methane
31839.46497324415,140,-0.0188815256124719,methane
31956.52182608696,140,-0.0191625700909027,methane
32073.57867892977,140,-0.0194684205948983,methane
32190.63553177258,140,-0.0198005930504734,methane
32307.692384615388,140,-0.0201606583876813,methane
32424.7492374582,140,-0.020550243743883,methane
32541.80609030101,140,-0.0209710336976103,methane
32658.862943143817,140,-0.0214247715342322,methane
32775.91979598662,140,-0.0219132605447758,methane
32892.97664882943,140,-0.0224383653591488,methane
33010.03350167224,140,-0.0230020133152455,methane
33127.09035451505,140,-0.023606195865326,methane
33244.14720735786,140,-0.0242529700211743,methane
33361.20406020067,140,-0.0249444598395576,methane
33478.26091304348,140,-0.0256828579496717,methane
33595.317765886284,140,-0.026470427124134,methane
33712.374618729096,140,-0.0273095018953747,methane
33829.43147157191,140,-0.0282024902191289,methane
33946.48832441471,140,-0.0291518751869895,methane
34063.545177257525,140,-0.0301602167899218,methane
34180.60203010034,140,-0.0312301537347539,methane
34297.65888294314,140,-0.0323644053158406,methane
34414.715735785954,140,-0.0335657733439771,methane
34531.772588628766,140,-0.0348371441349395,methane
34648.82944147157,140,-0.0361814905600232,methane
34765.88629431438,140,-0.0376018741610024,methane
34882.94314715719,140,-0.0391014473321559,methane
35000.0,140,-0.0406834555720494,methane
0.001,150,-0.3058316902768423,methane
117.05785284280938,150,-0.3065600922742142,methane
234.1147056856188,150,-0.3068708036140414,methane
351.17155852842814,150,-0.3068494477930147,methane
468.2284113712375,150,-0.3065798952733583,methane
585.2852642140468,150,-0.3061442392391221,methane
702.3421170568563,150,-0.3056227725234953,methane
819.3989698996656,150,-0.3050939646019656,methane
936.455822742475,150,-0.3046344376074148,methane
22357.85989297659,150,-0.0192880834136166,methane
22474.9167458194,150,-0.0192719876539992,methane
22591.97359866221,150,-0.0192641887626412,methane
22709.03045150502,150,-0.0192642033113996,methane
22826.087304347828,150,-0.019271566113543,methane
22943.14415719064,150,-0.0192858292018414,methane
23060.20101003345,150,-0.0193065608976483,methane
23177.257862876257,150,-0.0193333449675267,methane
23294.314715719065,150,-0.0193657798641168,methane
23411.37156856188,150,-0.0194034780483857,methane
23528.42842140469,150,-0.0194460653903854,methane
23645.48527424749,150,-0.0194931806459217,methane
23762.542127090303,150,-0.0195444750065084,methane
23879.598979933115,150,-0.0195996117200508,methane
23996.655832775923,150,-0.019658265779742,methane
24113.71268561873,150,-0.019720123678559,methane
24230.76953846154,150,-0.0197848832268955,methane
24347.826391304352,150,-0.0198522534305866,methane
24464.88324414716,150,-0.019921954426844,methane
24581.94009698997,150,-0.0199937174753503,methane
24698.996949832777,150,-0.0200672850018838,methane
24816.05380267559,150,-0.0201424106917735,methane
24933.1106555184,150,-0.0202188596305311,methane
25050.167508361206,150,-0.0202964084889359,methane
25167.22436120401,150,-0.0203748457500118,methane
25284.281214046827,150,-0.0204539719751929,methane
25401.338066889635,150,-0.0205336001072155,methane
25518.394919732444,150,-0.020613555807207,methane
25635.45177257525,150,-0.0206936778235482,methane
25752.508625418064,150,-0.0207738183902678,methane
25869.565478260876,150,-0.020853843652636,methane
25986.62233110368,150,-0.0209336341179725,methane
26103.67918394649,150,-0.0210130851295539,methane
26220.7360367893,150,-0.0210921073618299,methane
