density,temperature,delta_phi,substance
0.001,280,87.36899299002854,water
56000.0,280,0.0252285425488747,water
0.001,330,32.17593225936558,water
54868.686888888886,330,0.0593111904080271,water
55434.34344444444,330,0.0600306371013134,water
56000.0,330,0.0600484711622761,water
0.001,380,14.565726077020486,water
53171.71722222221,380,0.0786119700866746,water
53737.37377777777,380,0.076749798328754,water
54303.03033333333,380,0.0741242902351858,water
54868.686888888886,380,0.0706867608330251,water
55434.34344444444,380,0.0663860836705118,water
56000.0,380,0.0611686291464814,water
0.001,430,7.269870355866835,water
50909.09099999999,430,0.0832364901537181,water
51474.74755555555,430,0.0800558649670364,water
52040.40411111111,430,0.0760694802485383,water
52606.06066666666,430,0.0712324410528878,water
53171.71722222221,430,0.0654967969212888,water
53737.37377777777,430,0.0588115197019861,water
54303.03033333333,430,0.0511224539534466,water
54868.686888888886,430,0.0423722455849976,water
55434.34344444444,430,0.0325002533451547,water
56000.0,430,0.0214424465611404,water
0.001,480,3.6951949543094216,water
48080.808222222215,480,0.0713394981845151,water
48646.46477777777,480,0.0683455080184946,water
49212.12133333333,480,0.0645294667189297,water
49777.777888888886,480,0.0598539680601108,water
50343.43444444444,480,0.0542783996841759,water
50909.09099999999,480,0.0477589358640111,water
51474.74755555555,480,0.0402485046011662,water
52040.40411111111,480,0.0316967332848355,water
52606.06066666666,480,0.0220498768904721,water
53171.71722222221,480,0.0112507322383007,water
53737.37377777777,480,-0.0007614588221735,water
54303.03033333333,480,-0.0140511152235626,water
54868.686888888886,480,-0.0286864302570738,water
55434.34344444444,480,-0.0447394925258025,water
56000.0,480,-0.0622864146723725,water
0.001,530,1.7301081749645582,water
565.6575555555555,530,0.9743834928105672,water
1131.314111111111,530,0.3675724853530993,water
44121.21233333333,530,0.0369541969614665,water
44686.86888888889,530,0.0364686823025822,water
45252.52544444444,530,0.0351929099868347,water
45818.18199999999,530,0.0331013859129702,water
46383.83855555555,530,0.0301655808853481,water
46949.49511111111,530,0.0263539684187369,water
47515.151666666665,530,0.0216320361180388,water
48080.808222222215,530,0.015962272792828,water
48646.46477777777,530,0.0093041332161062,water
49212.12133333333,530,0.001613982660947,water
49777.777888888886,530,-0.0071549763202144,water
50343.43444444444,530,-0.0170527921810921,water
50909.09099999999,530,-0.0281328650100409,water
51474.74755555555,530,-0.040452056967182,water
52040.40411111111,530,-0.0540708103726593,water
52606.06066666666,530,-0.0690532718063535,water
53171.71722222221,530,-0.085467421183529,water
53737.37377777777,530,-0.1033852054094017,water
54303.03033333333,530,-0.1228826768475112,water
54868.686888888886,530,-0.1440401374271189,water
55434.34344444444,530,-0.1669422897453228,water
56000.0,530,-0.191678396974358,water
0.001,580,0.5527736580559819,water
565.6575555555555,580,0.1757337052211976,water
1131.314111111111,580,-0.1357347869125049,water
1696.9706666666666,580,-0.3935505294904354,water
2262.6272222222224,580,-0.6068804822894939,water
2828.2837777777777,580,-0.7832423467628042,water
39030.30333333333,580,-0.04239928742831,water
39595.95988888889,580,-0.0383160281956079,water
40161.61644444444,580,-0.0349761252301038,water
40727.273,580,-0.0323918910558327,water
41292.92955555555,580,-0.0305783754555196,water
41858.58611111111,580,-0.0295532987441672,water
42424.242666666665,580,-0.0293370081627158,water
42989.899222222215,580,-0.029952449754254,water
43555.55577777777,580,-0.0314251522197783,water
44121.21233333333,580,-0.0337832220477889,water
44686.86888888889,580,-0.0370573508111938,water
45252.52544444444,580,-0.0412808361519424,water
45818.18199999999,580,-0.0464896178903432,water
46383.83855555555,580,-0.0527223301716331,water
46949.49511111111,580,-0.0600203698270914,water
47515.151666666665,580,-0.0684279803699401,water
48080.808222222215,580,-0.0779923503932042,water
