density,temperature,TPSA,MW,LogP,HallKierAlpha,delta_phi
100.0,1.0,31.5,18.015,-0.8247,-0.04,0.0252285425488747
97.99999999999999,9.25,31.5,18.015,-0.8247,-0.04,0.0593111904080271
98.99999999999999,9.25,31.5,18.015,-0.8247,-0.04,0.0600306371013134
100.0,9.25,31.5,18.015,-0.8247,-0.04,0.0600484711622761
94.99999999999997,17.5,31.5,18.015,-0.8247,-0.04,0.0786119700866746
95.99999999999999,17.5,31.5,18.015,-0.8247,-0.04,0.076749798328754
97.0,17.5,31.5,18.015,-0.8247,-0.04,0.0741242902351858
97.99999999999999,17.5,31.5,18.015,-0.8247,-0.04,0.0706867608330251
98.99999999999999,17.5,31.5,18.015,-0.8247,-0.04,0.0663860836705118
100.0,17.5,31.5,18.015,-0.8247,-0.04,0.0611686291464814
1.0,25.75,31.5,18.015,-0.8247,-0.04,7.269870355866835
90.99999999999999,25.75,31.5,18.015,-0.8247,-0.04,0.0832364901537181
92.0,25.75,31.5,18.015,-0.8247,-0.04,0.0800558649670364
92.99999999999999,25.75,31.5,18.015,-0.8247,-0.04,0.0760694802485383
93.99999999999999,25.75,31.5,18.015,-0.8247,-0.04,0.0712324410528878
94.99999999999997,25.75,31.5,18.015,-0.8247,-0.04,0.0654967969212888
95.99999999999999,25.75,31.5,18.015,-0.8247,-0.04,0.0588115197019861
97.0,25.75,31.5,18.015,-0.8247,-0.04,0.0511224539534466
97.99999999999999,25.75,31.5,18.015,-0.8247,-0.04,0.0423722455849976
98.99999999999999,25.75,31.5,18.015,-0.8247,-0.04,0.0325002533451547
100.0,25.75,31.5,18.015,-0.8247,-0.04,0.0214424465611404
1.0,34.0,31.5,18.015,-0.8247,-0.04,3.6951949543094216
86.0,34.0,31.5,18.015,-0.8247,-0.04,0.0713394981845151
86.99999999999999,34.0,31.5,18.015,-0.8247,-0.04,0.0683455080184946
87.99999999999999,34.0,31.5,18.015,-0.8247,-0.04,0.0645294667189297
89.0,34.0,31.5,18.015,-0.8247,-0.04,0.0598539680601108
90.0,34.0,31.5,18.015,-0.8247,-0.04,0.0542783996841759
90.99999999999999,34.0,31.5,18.015,-0.8247,-0.04,0.0477589358640111
92.0,34.0,31.5,18.015,-0.8247,-0.04,0.0402485046011662
92.99999999999999,34.0,31.5,18.015,-0.8247,-0.04,0.0316967332848355
93.99999999999999,34.0,31.5,18.015,-0.8247,-0.04,0.0220498768904721
94.99999999999997,34.0,31.5,18.015,-0.8247,-0.04,0.0112507322383007
95.99999999999999,34.0,31.5,18.015,-0.8247,-0.04,-0.0007614588221735
97.0,34.0,31.5,18.015,-0.8247,-0.04,-0.0140511152235626
97.99999999999999,34.0,31.5,18.015,-0.8247,-0.04,-0.0286864302570738
