Complexity,Loss,Equation
1,0.50463974,"-0.30139533"
3,0.47336718,"-0.0010336044 * temperature"
4,0.4716102,"tan(-0.0009804739 * temperature)"
5,0.4674144,"(-0.0016546801 * temperature) - -0.22370628"
6,0.25548887,"cube((water / temperature) / density)"
7,0.21618734,"cube(sinh(water) / (temperature * density))"
8,0.16067319,"-0.30792147 + cube((water / temperature) / density)"
9,0.08314017,"sinh(((tan(water) / temperature) / density) - 0.3499731)"
10,0.07989521,"cube(sqrt(sinh((water / temperature) / density))) - 0.31019628"
11,0.066608295,"(0.04230088 * cube(square((water / temperature) / density))) - 0.30853888"
12,0.06660829,"(0.04230088 * cube(square(sin(water / temperature) / density))) - 0.30853888"
13,0.050956402,"sinh(((tan(water) / temperature) / density) - cube(sin(cos(log(temperature)))))"
14,0.046140257,"sinh(((tan(water) / temperature) / density) - square(cos(tan(sqrt(log(temperature))))))"
15,0.04468404,"sinh(((tan(water) / temperature) / density) - cube(sin(cos(log(temperature))))) - -0.09371564"
16,0.043144085,"sinh(((tan(water) / (temperature / 0.9927814)) / density) - square(cos(tan(sqrt(log(temperature))))))"
17,0.03371116,"0.14779525 + ((cube(square((water / temperature) / density) - 1.8700905) * 0.00041966277) / (1.8700905 / temperature))"
18,0.03193187,"(tan(cube(square((water / temperature) / density) - 1.9501964) * 0.00041966277) / (1.8700905 / temperature)) + 0.23149118"
19,0.029424101,"(((cube(square((water / temperature) / density) - 1.8700905) - argon) * 0.00041966277) / (1.8700905 / temperature)) + 0.2056834"
20,0.026798975,"((3.1712198e-6 * (cube(square(0.7522249 - ((water / temperature) / density))) - 1.5727288)) / square(-1.2076666 / temperature)) + water"
21,0.024360389,"0.055199087 + (((cube(square((water / temperature) / density) - 1.3452872) + methane) * 1.6887003e-6) / square(cosh(water) / temperature))"
22,0.022902293,"(((cube(square(((water / temperature) / density) - 0.7522249)) - cosh(cos(methane))) * 3.1712198e-6) / square(-1.1916076 / temperature)) + water"
23,0.021242704,"water + ((((cube(square(((water / temperature) / density) - 0.7522249)) - 0.7522249) - cos(methane)) * 3.1712198e-6) / square(-1.2130269 / temperature))"
24,0.021072391,"((((cube(square(0.7522249 - ((water / temperature) / density))) - cos(methane)) - sin(0.7873595)) * 3.1712198e-6) / square(1.2049229 / temperature)) + water"
25,0.021046096,"((((cube(square(0.7522249 - ((water / temperature) / density))) - cos(methane)) - sin(0.7873595)) * 3.1712198e-6) / sinh(square(1.2049229 / temperature))) + water"
26,0.02060133,"((((cube(square(((water / temperature) / density) - (0.7522249 - argon))) - cos(methane)) - cos(-0.8386468)) * 3.1712198e-6) / square(1.2049229 / temperature)) + water"
27,0.020393824,"(((((cube(square(((water / temperature) / density) - (0.7522249 - argon))) - cos(methane)) - 0.728207) * 3.1712198e-6) / square(1.2049229 / temperature)) + water) + 0.025402984"
28,0.020330314,"(((((cube(square(((water / temperature) / density) - 0.7522249)) + 0.42190126) - cos(methane)) - exp(3.1712198e-6 * density)) * 3.1712198e-6) / square(1.2049229 / temperature)) + water"
29,0.019490179,"(((((cube(square(((water / temperature) / density) - 0.7522249)) + 0.42190126) - cos(methane)) - square(exp(3.1712198e-6 * density))) * 3.1712198e-6) / square(1.2049229 / temperature)) + water"
30,0.019046886,"(((((cube(square(((water / temperature) / density) - 0.7522249)) + 0.42190126) - cos(methane)) - square(exp(3.1712198e-6 * density))) * 3.1712198e-6) / square(1.2049229 / temperature)) + sinh(water)"
31,0.018819707,"(((((cube(square(((water / temperature) / density) - 0.7522249)) + 0.42190126) - cos(methane)) - exp((3.1712198e-6 * density) / 0.42190126)) * 3.1712198e-6) / square(1.2049229 / temperature)) + sinh(water)"
32,0.017986365,"(((((cube(square(((water / temperature) / density) - 0.7522249)) + 0.42190126) - cos(methane)) - square(exp((2.810672e-6 * density) / cos(argon)))) * 3.1712198e-6) / square(1.2049229 / temperature)) + water"
33,0.017022388,"((((cube(square(((water / temperature) / density) - 0.7522249)) - cos(methane)) - square(inv(tan(exp((3.1712198e-6 * density) / (-0.5820989 - water)))))) * 3.1712198e-6) / square(1.2049229 / temperature)) + water"
34,0.015841868,"(((((cube(square(((water / temperature) / density) - 0.7522249)) + 0.42190126) - cos(methane)) - square(inv(exp((3.1712198e-6 * density) / (-0.5820989 - water))))) * 3.1712198e-6) / square(1.2049229 / temperature)) + water"
35,0.015605813,"(((((cube(square(((water / temperature) / density) - 0.7522249)) + 0.42190126) - cos(methane)) - square(inv(exp((density * 3.1712198e-6) / (-0.59811634 - tan(water)))))) * 3.1712198e-6) / square(1.2049229 / temperature)) + water"
