Complexity,Loss,Equation
1,0.016890377,"0.4994962"
2,0.008623734,"sin(0.6315809)"
4,0.005077541,"inv(1.4426181 + temperature)"
5,0.004920015,"inv(0.40851575 + exp(temperature))"
6,0.0048852395,"sin(sin(exp(-0.12273096 - temperature)))"
7,0.0039356193,"inv(temperature + (cube(density) + 1.3578595))"
8,0.003536094,"inv(((density + 0.8465363) * temperature) + 1.3978488)"
9,0.0034577819,"inv(1.4653881 + (temperature * (density + sqrt(temperature))))"
10,0.0032143267,"inv(((density + cos(sin(Boiling_Point))) * temperature) + 1.4111302)"
11,0.002959855,"inv(1.4111302 + (temperature * (density + (temperature - sin(Melting_Point)))))"
12,0.0028950658,"inv((temperature * (density + square(temperature - sin(Melting_Point)))) + 1.428845)"
13,0.0028374342,"inv((temperature * (density + square(temperature - sin(sin(Melting_Point))))) + 1.4426181)"
14,0.0027923754,"inv((temperature * (density + square(sinh(temperature) - sin(sin(Melting_Point))))) + 1.4426181)"
15,0.0026599043,"sin(inv(sqrt(square(exp(sin(cube(density + temperature))) - density) + exp(temperature))))"
16,0.002416803,"sin(inv(sqrt(square(exp(sin(cube(density + temperature))) - density) + exp(tan(temperature)))))"
17,0.0021792518,"sin(inv(sqrt(sinh(cube(cosh(temperature))) + square(exp(sin(cube(density + temperature))) - density))))"
18,0.0020164996,"sin(inv(sqrt(square(exp(sin(cube(density + temperature))) - density) + sqrt(cosh(exp(tan(temperature)))))))"
19,0.0019113425,"sin(inv(sqrt(square(exp(sin(cube(density + sinh(temperature)))) - density) + sqrt(cosh(exp(tan(temperature)))))))"
20,0.0018756035,"sin(inv(sqrt(square(exp(sinh(sin(cube(density + sinh(temperature))))) - density) + sqrt(cosh(exp(tan(temperature)))))))"
21,0.0018311432,"inv(sqrt(exp(tan(sin(cube(temperature + density)))) + (exp(tan(temperature)) + square(cube(sqrt(sqrt(density)) + -1.2963408)))))"
22,0.0016931684,"inv(sqrt(exp(sinh(tan(sin(cube(temperature + density))))) + (exp(tan(temperature)) + square(cube(sqrt(sqrt(density)) + -1.2963408)))))"
23,0.0015065891,"inv(sqrt((sinh(square(tan(sqrt(sqrt(sqrt(density))) + -1.2689528))) + exp(temperature)) + exp(tan(sin(square(square(density + temperature)))))))"
24,0.0012766552,"inv(sqrt((sinh(square(tan(-1.2689528 + sqrt(sqrt(sqrt(density)))))) + exp(tan(temperature))) + exp(tan(sin(square(square(density + temperature)))))))"
25,0.001145325,"inv(sqrt((sinh(square(tan(-1.2689528 + sqrt(sqrt(sqrt(density)))))) + exp(tan(temperature))) + exp(sinh(tan(sin(square(square(density + temperature))))))))"
26,0.0010704614,"inv(sqrt((exp(tan(sinh(temperature))) + sinh(square(tan(sqrt(sqrt(sqrt(density))) + -1.2689528)))) + exp(sinh(tan(sin(square(square(density + temperature))))))))"
27,0.0010349872,"inv(sqrt(exp(sinh(tan(sin(square(square(density + temperature)))))) + (exp(tan(sinh(temperature))) + sinh(square(tan(sqrt(sqrt(sqrt(density))) - cosh(-0.6675811)))))))"
28,0.0010060471,"sinh(inv(sqrt((sinh(sinh(tan(sinh(1.0464426) - sqrt(sqrt(sqrt(density)))))) + exp(tan(sinh(temperature)))) + exp(sinh(tan(sin(square(square(temperature + density)))))))))"
29,0.00096941,"sinh(inv(sqrt((exp(tan(sinh(temperature))) + sinh(sinh(tan(sinh(1.0463771) - sqrt(sqrt(sqrt(density))))))) + exp(sinh(tan(sin(square(square(density + sinh(temperature))))))))))"
30,0.0009537726,"sinh(inv(sqrt((exp(tan(sinh(temperature))) + sinh(sinh(tan(sinh(1.0463771) - sqrt(sqrt(sqrt(density))))))) + exp(sinh(sinh(sinh(sin(square(square(density + sinh(temperature)))))))))))"
