Complexity,Loss,Equation
1,0.053714648,"-0.25853926"
3,0.035487287,"temperature * -0.0008512635"
4,0.029064571,"-2.2622976e-6 * square(temperature)"
5,0.02373523,"(temperature * -4.445783e-8) * density"
6,0.020772677,"tan((-4.2997595e-8 * density) * temperature)"
7,0.017751403,"tan(tan((density * -4.1022787e-8) * temperature))"
8,0.010565289,"cube(-0.0012996056 * (temperature - (density * -0.007804448)))"
9,0.007973887,"tan(cube((temperature - (-0.0077979183 * density)) * -0.0012756613))"
10,0.005665798,"cube(-0.0014500759 * (temperature - (cube(-0.005783023) * square(density))))"
11,0.0037844642,"tan(cube(-0.0014213535 * (temperature - (cube(-0.0056334226) * square(density)))))"
12,0.0037843622,"tan(cube(-0.0014213535 * (temperature - (cube(tan(-0.0056334226)) * square(density)))))"
13,0.0032277128,"sinh(cube((temperature - (square(-0.0053169555) * cube(density * -0.005849516))) * -0.0014720018))"
14,0.0031207001,"sinh(sinh(cube((temperature - (cube(density * -0.005849516) * square(0.0050859586))) * -0.0014720018)))"
15,0.002963901,"sinh(tan(sin(cube(-0.0014720018 * (temperature - (square(0.0050859586) * cube(density * -0.005849516)))))))"
16,0.0029638924,"sinh(tan(sin(cube(-0.0014720018 * (temperature - (sinh(square(0.0050859586)) * cube(density * -0.005849516)))))))"
17,0.0021923159,"tan(tan(((temperature * cosh(tan(sin(log(density + (temperature / 0.073664226)))))) * -0.0009954103) - -0.22687846))"
18,0.001884803,"sinh(tan(-0.0009667012 * (temperature * square(cosh(square(sin(log((temperature / 0.07300498) + density))))))) - -0.18906924)"
19,0.0015133363,"tan(sinh((temperature * cosh(sinh(square(sinh(sin(log(density + (temperature / 0.06589905)))))))) * -0.0009260935) - -0.1750458)"
20,0.0014825725,"sinh(sinh(sinh((temperature * cosh(sinh(square(sinh(sin(log(density + (temperature / 0.06589905)))))))) * -0.0009260935) - -0.1750458))"
21,0.0012915746,"tan(sin(sinh(tan(-0.0008518454 * (temperature * cosh(sinh(square(sinh(sin(log(density + (temperature / 0.07300498)))))))))) - -0.14808144))"
22,0.001197258,"sinh(sinh(sin(sinh(tan(-0.0008518454 * (temperature * cosh(sinh(square(sinh(sin(log(density + (temperature / 0.07300498)))))))))) - -0.14808144)))"
24,0.0011866719,"tan(sin(tan(sinh(-0.0008518454 * (cosh(sinh(square(sinh(sin(log(density + (temperature / 0.07300498))))) * sqrt(0.96736616))) * temperature))) - -0.14350477))"
25,0.0011348171,"tan(sin(tan(sin(sinh(tan(-0.0008518454 * (cosh(sinh(square(sinh(sin(log(density + (temperature / 0.07300498)))))) * 0.9505964) * temperature))) - -0.14350477))))"
26,0.0010867993,"sinh(sinh(sin(tan(sin(sinh(tan((cosh(sinh(square(sinh(sin(log(density + (temperature / 0.07300498))))) * 0.96736616)) * temperature) * -0.0008518454)) - -0.14350477)))))"
27,0.0010857378,"sinh(sinh(sin(tan(sin(sinh(tan((cosh(sinh(square(sinh(sin(log(density + (temperature / 0.07300498))))) * 0.96736616)) * temperature) * -0.0008518454)) - tan(-0.14350477))))))"
28,0.0010848936,"sinh(sinh(sin(tan(sin(sinh(tan((cosh(sinh(-0.9695935 * square(sinh(sin(log(density + (temperature / 0.07300498))))))) * (temperature - 1.070474)) * -0.0008518454)) - -0.14350477)))))"
29,0.0010648685,"sinh(sinh(sin(tan(sin(sinh(tan((cosh(sinh(square(sinh(sin(log(density + ((temperature / 0.07300498) + inv(density)))))) * -0.9695935)) * temperature) * -0.0008518454)) - -0.14350477)))))"
30,0.0010532121,"sinh(sinh(sin(tan(sin(sinh(tan((cosh(sinh(square(sinh(sin(log((density + (temperature / 0.07300498)) - (-0.5185897 / density))))) * 0.96736616)) * temperature) * -0.0008518454)) - -0.14350477)))))"
