r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
5.887295603752136230e-01,5.887295603752136230e-01,1.165722310543060303e-01,5.035157799720764160e-01,7.484000205993652344e+00,2.032786846160888672e+00,-1.000000000000000000e+00,5.450000000000000000e+02,1.100000000000000000e+01,5.450000000000000000e+02,1.100000000000000000e+01,2.824629545211791992e+00,2.655570983886718750e+00,2.870000004768371582e-01,0.000000000000000000e+00,5.000000000000000000e-01,6.489924907684326172e+00,1.000000000000000000e+03
5.887295603752136230e-01,5.109002590179443359e-01,1.161892712116241455e-01,5.003588199615478516e-01,7.178999900817871094e+00,1.454545497894287109e+00,-1.000000000000000000e+00,5.260000000000000000e+02,6.000000000000000000e+00,4.670000000000000000e+02,4.000000000000000000e+00,2.825862884521484375e+00,2.655489921569824219e+00,2.770000100135803223e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.402561664581298828e+00,2.000000000000000000e+03
5.887295603752136230e-01,5.819624066352844238e-01,1.197860538959503174e-01,5.027126073837280273e-01,7.625000000000000000e+00,1.919999957084655762e+00,-1.000000000000000000e+00,5.400000000000000000e+02,7.000000000000000000e+00,4.660000000000000000e+02,6.000000000000000000e+00,2.825441598892211914e+00,2.688877820968627930e+00,3.070000112056732178e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.630450248718261719e+00,3.000000000000000000e+03
5.887295603752136230e-01,5.876705050468444824e-01,1.015382185578346252e-01,5.032213926315307617e-01,8.418000221252441406e+00,1.767857193946838379e+00,-1.000000000000000000e+00,5.520000000000000000e+02,9.000000000000000000e+00,4.710000000000000000e+02,6.000000000000000000e+00,2.824814319610595703e+00,2.653094530105590820e+00,3.179999887943267822e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.367978572845458984e+00,4.000000000000000000e+03
5.887295603752136230e-01,5.653922557830810547e-01,1.257912218570709229e-01,5.010206103324890137e-01,8.281999588012695312e+00,1.362318873405456543e+00,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+00,4.720000000000000000e+02,4.000000000000000000e+00,2.825114727020263672e+00,2.660473585128784180e+00,2.989999949932098389e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.334970474243164062e+00,5.000000000000000000e+03
5.887295603752136230e-01,5.760745406150817871e-01,1.161785125732421875e-01,5.025160908699035645e-01,7.846000194549560547e+00,2.269841194152832031e+00,-1.000000000000000000e+00,5.280000000000000000e+02,1.000000000000000000e+01,4.390000000000000000e+02,8.000000000000000000e+00,2.825207233428955078e+00,2.666377067565917969e+00,2.739999890327453613e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.118870735168457031e+00,6.000000000000000000e+03
5.887295603752136230e-01,5.819803476333618164e-01,1.076435893774032593e-01,5.015468001365661621e-01,8.748999595642089844e+00,1.396226406097412109e+00,-1.000000000000000000e+00,5.510000000000000000e+02,2.000000000000000000e+00,4.420000000000000000e+02,1.000000000000000000e+00,2.825206995010375977e+00,2.626867771148681641e+00,2.890000045299530029e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.147575378417968750e+00,7.000000000000000000e+03
5.887295603752136230e-01,5.760730504989624023e-01,1.175726205110549927e-01,5.012508034706115723e-01,7.559999942779541016e+00,1.323076963424682617e+00,-1.000000000000000000e+00,5.480000000000000000e+02,4.000000000000000000e+00,4.280000000000000000e+02,3.000000000000000000e+00,2.824895858764648438e+00,2.666537523269653320e+00,2.890000045299530029e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.110041618347167969e+00,8.000000000000000000e+03
5.955442786216735840e-01,5.955442786216735840e-01,1.183311194181442261e-01,5.028350949287414551e-01,7.973000049591064453e+00,1.210526347160339355e+00,-1.000000000000000000e+00,5.350000000000000000e+02,5.000000000000000000e+00,4.150000000000000000e+02,3.000000000000000000e+00,2.824896335601806641e+00,2.656607627868652344e+00,2.870000004768371582e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.542302131652832031e+00,9.000000000000000000e+03
6.012926101684570312e-01,6.012926101684570312e-01,1.174357905983924866e-01,5.041155815124511719e-01,7.796000003814697266e+00,1.449275374412536621e+00,-1.000000000000000000e+00,5.540000000000000000e+02,6.000000000000000000e+00,4.480000000000000000e+02,5.000000000000000000e+00,2.824508905410766602e+00,2.680472373962402344e+00,2.960000038146972656e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.898694992065429688e+00,1.000000000000000000e+04
6.012926101684570312e-01,5.864533782005310059e-01,1.200689300894737244e-01,5.032178163528442383e-01,7.657999992370605469e+00,1.937500000000000000e+00,-1.000000000000000000e+00,5.320000000000000000e+02,5.000000000000000000e+00,4.130000000000000000e+02,4.000000000000000000e+00,2.824769020080566406e+00,2.662253856658935547e+00,2.860000133514404297e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.966196537017822266e+00,1.100000000000000000e+04
6.012926101684570312e-01,5.964533686637878418e-01,1.261245906352996826e-01,5.060535073280334473e-01,7.956999778747558594e+00,2.102941274642944336e+00,-1.000000000000000000e+00,5.440000000000000000e+02,1.000000000000000000e+01,4.120000000000000000e+02,8.000000000000000000e+00,2.824780941009521484e+00,2.676615715026855469e+00,2.790000140666961670e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.996852874755859375e+00,1.200000000000000000e+04
6.012926101684570312e-01,5.864533782005310059e-01,1.294708997011184692e-01,5.035139322280883789e-01,7.039999961853027344e+00,1.702702760696411133e+00,-1.000000000000000000e+00,5.260000000000000000e+02,8.000000000000000000e+00,4.090000000000000000e+02,5.000000000000000000e+00,2.824869632720947266e+00,2.678577423095703125e+00,2.569999992847442627e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.298183441162109375e+00,1.300000000000000000e+04
6.012926101684570312e-01,6.006433963775634766e-01,1.149849519133567810e-01,5.051649808883666992e-01,7.480000019073486328e+00,3.087719202041625977e+00,-1.000000000000000000e+00,5.500000000000000000e+02,9.000000000000000000e+00,4.160000000000000000e+02,8.000000000000000000e+00,2.824700355529785156e+00,2.650984764099121094e+00,2.829999923706054688e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.163475036621093750e+00,1.400000000000000000e+04
6.012926101684570312e-01,5.760730504989624023e-01,1.180669218301773071e-01,5.015817284584045410e-01,7.795000076293945312e+00,1.619047641754150391e+00,-1.000000000000000000e+00,5.320000000000000000e+02,5.000000000000000000e+00,3.980000000000000000e+02,4.000000000000000000e+00,2.824533939361572266e+00,2.664060592651367188e+00,2.689999938011169434e-01,0.000000000000000000e+00,5.000000000000000000e-01,5.217452049255371094e+00,1.500000000000000000e+04
6.066592931747436523e-01,6.066592931747436523e-01,1.243919879198074341e-01,5.022306442260742188e-01,7.494999885559082031e+00,1.740740776062011719e+00,-1.000000000000000000e+00,5.250000000000000000e+02,7.000000000000000000e+00,4.070000000000000000e+02,5.000000000000000000e+00,2.824706077575683594e+00,2.693516254425048828e+00,2.790000140666961670e-01,0.000000000000000000e+00,5.000000000000000000e-01,7.292273044586181641e+00,1.600000000000000000e+04
6.066592931747436523e-01,6.003471612930297852e-01,1.244067624211311340e-01,5.036956667900085449e-01,6.927000045776367188e+00,2.163934469223022461e+00,-1.000000000000000000e+00,5.310000000000000000e+02,1.200000000000000000e+01,3.970000000000000000e+02,1.000000000000000000e+01,2.824416160583496094e+00,2.660176753997802734e+00,2.700000107288360596e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.929224014282226562e+00,1.700000000000000000e+04
