r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
6.170570850372314453e-01,6.170570850372314453e-01,1.852788180112838745e-01,5.034683346748352051e-01,7.682499885559082031e+00,1.812865495681762695e+00,-1.000000000000000000e+00,9.700000000000000000e+02,2.400000000000000000e+01,9.700000000000000000e+02,2.400000000000000000e+01,2.769082069396972656e+00,2.698561906814575195e+00,3.605000078678131104e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.895512580871582031e+00,2.000000000000000000e+03
6.170570850372314453e-01,6.025210618972778320e-01,1.815144419670104980e-01,5.043735504150390625e-01,7.533500194549560547e+00,1.849056601524353027e+00,-1.000000000000000000e+00,9.860000000000000000e+02,2.300000000000000000e+01,8.830000000000000000e+02,2.000000000000000000e+01,2.768853187561035156e+00,2.696575641632080078e+00,3.655000030994415283e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.669063806533813477e+00,4.000000000000000000e+03
6.170570850372314453e-01,6.170570850372314453e-01,1.763556152582168579e-01,5.065839886665344238e-01,7.770500183105468750e+00,1.897590398788452148e+00,-1.000000000000000000e+00,1.023000000000000000e+03,2.900000000000000000e+01,9.000000000000000000e+02,2.200000000000000000e+01,2.768802881240844727e+00,2.701382637023925781e+00,3.840000033378601074e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.746636152267456055e+00,6.000000000000000000e+03
6.170570850372314453e-01,5.902382135391235352e-01,1.801941245794296265e-01,5.032894015312194824e-01,7.607999801635742188e+00,1.723684191703796387e+00,-1.000000000000000000e+00,9.980000000000000000e+02,2.200000000000000000e+01,8.410000000000000000e+02,1.700000000000000000e+01,2.768665313720703125e+00,2.689871072769165039e+00,3.644999861717224121e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.818020105361938477e+00,8.000000000000000000e+03
6.295213103294372559e-01,6.295213103294372559e-01,1.795128732919692993e-01,5.039926767349243164e-01,7.398499965667724609e+00,1.671052575111389160e+00,-1.000000000000000000e+00,9.690000000000000000e+02,1.900000000000000000e+01,7.960000000000000000e+02,1.100000000000000000e+01,2.768828868865966797e+00,2.688466072082519531e+00,3.610000014305114746e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.551133155822753906e+00,1.000000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.864670217037200928e-01,5.029295682907104492e-01,7.383500099182128906e+00,1.693641662597656250e+00,-1.000000000000000000e+00,9.690000000000000000e+02,2.200000000000000000e+01,7.840000000000000000e+02,1.200000000000000000e+01,2.768908023834228516e+00,2.700601577758789062e+00,3.529999852180480957e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.535808324813842773e+00,1.200000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.859443336725234985e-01,5.024645924568176270e-01,6.988999843597412109e+00,1.933734893798828125e+00,-1.000000000000000000e+00,9.350000000000000000e+02,2.500000000000000000e+01,7.370000000000000000e+02,1.500000000000000000e+01,2.768567085266113281e+00,2.696834087371826172e+00,3.449999988079071045e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.063144683837890625e+00,1.400000000000000000e+04
6.295213103294372559e-01,6.009559035301208496e-01,1.882210820913314819e-01,5.031390786170959473e-01,7.132500171661376953e+00,1.779761910438537598e+00,-1.000000000000000000e+00,9.590000000000000000e+02,2.700000000000000000e+01,7.580000000000000000e+02,1.600000000000000000e+01,2.768920660018920898e+00,2.701255798339843750e+00,3.429999947547912598e-01,0.000000000000000000e+00,5.000000000000000000e-01,3.637709379196166992e+00,1.600000000000000000e+04
6.295213103294372559e-01,5.889852643013000488e-01,1.880197674036026001e-01,5.030981302261352539e-01,7.070499897003173828e+00,2.113095283508300781e+00,-1.000000000000000000e+00,9.730000000000000000e+02,3.300000000000000000e+01,7.670000000000000000e+02,2.500000000000000000e+01,2.768709659576416016e+00,2.698730230331420898e+00,3.510000109672546387e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.335491180419921875e+00,1.800000000000000000e+04
6.295213103294372559e-01,5.992051959037780762e-01,1.878511160612106323e-01,5.019552111625671387e-01,7.197500228881835938e+00,1.564705848693847656e+00,-1.000000000000000000e+00,9.700000000000000000e+02,1.700000000000000000e+01,7.730000000000000000e+02,9.000000000000000000e+00,2.768666267395019531e+00,2.693386554718017578e+00,3.510000109672546387e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.365723609924316406e+00,2.000000000000000000e+04
