file,R2,MSE,MAPE,Complexity,Equation
pySR_all_add_features_manual_normalized_n_filtered_iter500_2216,0.9594267427597932,2.148662725859573e-05,0.2123356078126294,26,$\frac{\rho \left(- \nu + \cos^{0.5}{\left(\rho \right)}\right) \left(T - \sin{\left(\rho + \tan{\left(\rho \right)} \right)}\right)^{2} e^{- \sigma}}{\sigma^{3} \left(\rho^{1.0} + 1.0 \cdot 10^{-16}\right)}$
pySR_all_add_features_manual_normalized_n_filtered_iter500_2204,0.9606565890460824,2.083533006097572e-05,0.24604185163243703,27,$\frac{\rho \sinh{\left(\left(1.22359705641902 T - 1.53778141855249 \sin{\left(\sigma^{6} + \rho T \right)}\right) \left(\sqrt{\sigma} - \nu - 0.01808423\right) \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_filtered_iter500_2339,0.9414813399293707,3.09900836693011e-05,0.17738183891042755,24,$\frac{\rho \nu \left(- \nu + \cos{\left(\rho^{2} \right)}\right) \left(- T + \sin{\left(\frac{\rho}{\sigma^{3}} \right)}\right)^{2} e^{- \sigma^{2}}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_filtered_iter500_1554,0.9286684524467811,3.7775482628394514e-05,0.23779391114632112,29,$\frac{0.878 \rho \left(T - \sin^{9}{\left(1.09397276953271 \sigma + \rho \right)}\right)^{2} \log{\left(\nu \right)}}{\sigma^{3} \left(\rho^{1.0} + 1.0 \cdot 10^{-16}\right) \left(\frac{\rho}{\nu} - 1.68\right)}$
pySR_all_add_features_manual_normalized_n_filtered_iter500_0026,0.9597656283866458,2.130716153060729e-05,0.21027064556191086,27,$\frac{\rho \left(\left(T - \sin{\left(2.2564266 \rho \right)}\right)^{2} \left(\sigma \cos{\left(\rho \right)} - \nu\right) \log{\left(\nu \right)}^{0.5} - 0.00305\right)}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_filtered_iter500_1609,0.9064801206415224,4.952589281033063e-05,0.3834391647301306,26,$\frac{\rho \left(\sinh{\left(\frac{\nu^{3} \frac{1}{T^{3}} \left(- T + \sin{\left(\sigma + \left(\rho + T^{2} \cdot 0.037607238\right)^{2} \right)}\right)^{3}}{\sigma} \right)} + 0.0376\right)}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_filtered_iter500_2142,0.9123260468448746,4.643003002147345e-05,0.2716145973135485,27,$\frac{\rho \nu T e^{- \rho} e^{- \frac{3 \left(\rho + e^{\rho}\right)}{T^{3}}} \sinh{\left(\sigma - \left(\rho^{4} + \nu\right) \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_filtered_iter500_2153,0.9618125205238327,2.0223176379257397e-05,0.17654561068702473,24,$\frac{\rho \left(1.02 - \nu\right) \left(- \rho + \left(T - \sin{\left(- \rho^{2} - \rho + \nu^{6} \right)}\right)^{2} + 0.53\right)}{\sigma \left(\rho^{1.0} + 1.0 \cdot 10^{-16}\right)}$
pySR_all_add_features_manual_normalized_n_filtered_iter500_2351,0.959396607597573,2.1502586120221583e-05,0.22126454043650934,22,$\frac{\rho \left(T - \sin{\left(2.27237712007104 \rho \right)}\right)^{2} \left(\sigma \cos{\left(\rho \right)} - \nu\right) \log{\left(\nu \right)}^{0.5}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_filtered_iter500_2306,0.9551485102536539,2.37522769361851e-05,0.23756787933347295,29,$\frac{\rho \left(\nu - 0.954\right) \left(\left(\rho - \nu\right)^{3} + 0.466 - \frac{\left(- \nu + T\right) e^{\rho^{2}}}{\sigma} - \frac{\rho^{6}}{\sigma^{3}}\right) \log{\left(T \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
