file,R2,MSE,MAPE,Complexity,Equation
pySR_all_add_features_manual_normalized_n_iter500_1726,0.9223670866184199,4.11044017768771e-05,0.2309749020977204,18,$- \frac{0.673 \epsilon \rho e^{\left(\mathrm{K}_{AB} - \rho\right)^{2}} \log{\left(T \right)}^{2}}{\sigma^{4} \left(\rho^{1.0} + 1.0 \cdot 10^{-16}\right)}$
pySR_all_add_features_manual_normalized_n_iter500_2113,0.9575954022707697,2.2452018690602158e-05,0.1748913553770643,22,$\frac{\rho \left(- \left(\mathrm{K}_{AB} + \left(\left(\epsilon^{0.5} \rho \left(T + 0.297\right)^{0.5} - \epsilon\right)^{2}\right)^{0.5}\right)^{2} - 0.305\right) \log{\left(T \right)}^{2}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_iter500_1335,0.9429393130057181,3.02119977431388e-05,0.2597605631711336,31,$\frac{\rho \nu T \left(T - 1.17\right) \left(\cos{\left(\epsilon^{3} T^{3} \cdot 0.04353085824025 - \frac{\epsilon - \rho}{\sigma} \right)} - 1.17\right) \tan{\left(\epsilon \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_iter500_1546,0.9477536789006659,2.76629290372646e-05,0.38731822255118886,23,$\frac{\rho \sinh{\left(\left(- \mathrm{K}_{AB} - 0.23816495\right) \left(T - \sin{\left(\rho \left(- \mathrm{K}_{AB} + T + 0.74667466\right) - -0.28977373 \right)} - 0.44298196\right) \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_iter500_2057,0.9384711219842709,3.257777677887676e-05,0.23013290267253322,25,$\frac{\epsilon^{0.5} \rho \log{\left(- \frac{\sin{\left(\frac{\rho}{T} - \cosh{\left(\nu \right)} + 0.016713763 \right)}}{T} \right)}^{3}}{\left(1.82 - \rho^{3}\right) \left(\rho^{1.0} + 1.0 \cdot 10^{-16}\right)}$
pySR_all_add_features_manual_normalized_n_iter500_2015,0.938539939989827,3.2541339618056075e-05,0.21573285806993792,32,$- \frac{\epsilon^{2} \rho \sinh{\left(T - \frac{\cos^{3}{\left(\epsilon - \frac{\sqrt{\rho^{3}} + 0.22735594}{\sigma} \right)}}{\sqrt{\cos{\left(e^{\log{\left(\epsilon \right)}^{27}} \right)}}} \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_iter500_1459,0.9589828527913921,2.1717403420338048e-05,0.31464311849043586,24,$\frac{\rho \sinh{\left(\frac{\epsilon \left(- T + \cos{\left(- \nu + T \left(\rho - -0.0739588\right) \right)} - -0.3259917\right)}{\tan{\left(\sigma \right)}} \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_iter500_2201,0.9517117139370871,2.5567262968617298e-05,0.23316573045467376,20,$\frac{0.504 \rho \left(- T + \sin{\left(1.9849615 \rho \right)}\right)^{2} \left(- \epsilon \rho^{2} - \mathrm{K}_{AB} - 0.0895\right)}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_iter500_2042,0.9450003443622634,2.912074073288364e-05,0.20733592312295382,26,$\frac{\rho \sinh{\left(- \left(-1\right) 0.41982895 \left(- \rho + \epsilon_{AB}\right) + 0.89656234 \left(\left(- \epsilon_{AB} - 0.30781105\right) \left(T - \sin{\left(\rho T \right)}\right) + 0.41160090165769\right) \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_all_add_features_manual_normalized_n_iter500_1534,0.9567527490594029,2.2898179405817754e-05,0.31537342235289284,23,$\frac{\rho \sinh{\left(\left(\mathrm{K}_{AB} - -0.21641383\right) \left(- (T - 0.4071028) + \sin{\left(\rho \left(\sigma - \epsilon_{AB} + T\right) - -0.31460923 \right)}\right) \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
