file,R2,MSE,MAPE,Complexity,Equation
pySR_w_all_add_features_manual_normalized_n_iter500_2346,0.8453978924311566,8.18735808924207e-05,0.3447760462160654,27,$\frac{\epsilon^{2} \rho \left(- \frac{T^{2}}{\rho + 2.09} + \frac{0.658 \rho T \cos^{3}{\left(\mathrm{K}_{AB} - \rho T \right)}}{\epsilon}\right)}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_2359,0.9059198699013973,4.982258821127296e-05,0.3121121202656477,27,$\frac{\rho \sinh{\left(\left(- T + \left(\sigma^{3} - \rho\right)^{3} + \sin{\left(\rho \left(- \epsilon + T + 1.2979788\right) \right)} + 0.33204925\right) \log{\left(\nu^{2} \right)} \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_2307,0.9232734373978049,4.063255364750395e-05,0.21758179580326442,24,$\frac{\rho \left(- 0.633 \epsilon^{2} \left(T - \sin{\left(\rho T + \frac{0.20759025}{\epsilon} \right)}\right)^{2} - 0.0429\right)}{\sigma^{0.5} \left(\rho^{1.0} + 1.0 \cdot 10^{-16}\right)}$
pySR_w_all_add_features_manual_normalized_n_iter500_0029,0.9259287190046805,3.922637997463932e-05,0.4165596347844773,21,$\frac{\rho \left(\epsilon_{AB} + 0.198\right) \left(- T + \sin{\left(\rho \left(- \epsilon_{AB} + \sqrt{T} + T\right) \right)} + 0.493\right)}{\sigma \left(\rho^{1.0} + 1.0 \cdot 10^{-16}\right)}$
pySR_w_all_add_features_manual_normalized_n_iter500_2330,0.8201506786204124,9.524390187153e-05,0.3813106163560978,21,$- \frac{0.712 \epsilon^{2} \rho \left(T - \cos^{3}{\left(\sqrt{\epsilon} - \sqrt{T} \left(\rho + 0.061288446\right) \right)}\right)^{2}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_0117,0.9337823607283908,3.506727903431123e-05,0.28191887113753394,18,$\frac{\rho \left(1.02 - \nu\right) \left(- T + \cos^{3}{\left(\sqrt{\epsilon} - \rho \sqrt{T} \right)}\right)^{2}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_0016,0.9386494524445179,3.248978359393551e-05,0.24254013004200592,24,$\frac{1.06 \epsilon^{0.5} \rho T \left(- T + 1.3 \sin{\left(\frac{\rho \left(T + 1.9218498\right)}{\nu} \right)}\right) \log{\left(\nu \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_0051,0.8777027132665972,6.476571992288092e-05,0.25437997637081455,19,$\frac{0.534 \rho \left(- \mathrm{K}_{AB} + \frac{- \rho - 0.111}{T}\right) \left(- T + \sin{\left(\rho 2.2713661 \right)}\right)^{2}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_0144,0.9004704865470559,5.27084513854009e-05,0.21608405121163,16,$\frac{\rho \left(- \left(\epsilon_{AB} + \left(\left(- \epsilon + \rho \nu\right)^{2}\right)^{0.5}\right)^{2} - 0.276\right) \log{\left(T \right)}^{2}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_0104,0.9473611952066258,2.7876252853872462e-05,0.21051910263704188,19,$\frac{0.0137 \rho \left(- 0.816 \epsilon_{AB} - 1.0\right)^{3} \left(T + 0.929 \left(- \rho^{1.5} \nu + \epsilon_{AB}\right)^{2}\right)^{3}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_2214,0.9220180914434893,4.1297354859821596e-05,0.3054784322432531,32,$\frac{\rho \left(\epsilon \rho \nu - \cosh{\left(T - \sin^{2}{\left(e^{\rho} \right)} \sinh^{2}{\left(\sigma \right)} - 0.07720655 \right)}\right) \sin{\left(\frac{\epsilon^{2}}{\sigma^{2}} \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_2333,0.8557216028045647,7.640639063441754e-05,0.3959398273120563,20,$- \frac{0.751 \epsilon^{2} \rho \left(- T + \sin{\left(1.3997228654273 \sqrt{T} \left(\rho + \frac{0.12294789}{\epsilon}\right) \right)}\right)^{2}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_0056,0.9493196606868897,2.683909634646848e-05,0.3284433912746826,21,$\frac{\rho \sinh{\left(\left(0.42385203 - \left(T - \sin{\left(\sigma T \left(\rho + 0.22577873\right) \right)}\right)\right) \left(\epsilon_{AB} - -0.24911886\right) \right)}}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_2320,0.9148172708238551,4.5110737347061704e-05,0.2572225189716139,24,$\frac{0.744 \rho T^{0.5} \left(\mathrm{K}_{AB} + 0.172\right) \left(- T - \left(\epsilon^{0.5} - \rho T^{0.5}\right)^{2} e^{\rho} + 1.34\right)}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
pySR_w_all_add_features_manual_normalized_n_iter500_2227,0.8817902252717378,6.260107126404823e-05,0.3367454611694782,23,$\frac{0.619 \epsilon^{2} \rho T \left(- 0.913 T + 1.24 \sin{\left(\rho \left(T - - \frac{0.43856212}{\epsilon}\right) \right)}\right)}{\rho^{1.0} + 1.0 \cdot 10^{-16}}$
