Complexity,Loss,Equation
1,0.06569995,"-0.308757"
2,0.065699644,"cube(-0.67546225)"
3,0.034168202,"-0.0010512823 * temperature"
5,0.028615372,"(temperature - 131.737) * -0.0016679773"
7,0.026482256,"((temperature + MW) * -0.0017749411) - -0.30562586"
8,0.023488067,"0.23685741 + (-0.00052186754 * (temperature * log(MW)))"
9,0.023212407,"0.27619153 + ((log(log(MW)) * temperature) * -0.0015737934)"
11,0.02285321,"(-0.0016051176 * ((temperature - TPSA) * log(log(MW)))) + 0.28467458"
12,0.021489576,"cube(sin(square(square(LogP)) - (cube(0.13398574) * temperature)))"
14,0.020925334,"cube(sin(square(square(LogP)) - (temperature * cube(0.13147143)))) * 1.1676149"
16,0.020307062,"(cube(square(square(LogP)) - sqrt(sqrt(cube(cube(0.13398574) * temperature)))) / 1.5485276) - 0.024144381"
17,0.019778708,"(cube(square(square(LogP)) - sqrt(sqrt(cube(cube(0.13398574) * temperature)))) / 1.5485276) - square(0.024144381)"
18,0.016873587,"cube(square(LogP) - (cube(0.13398574) * ((density * (0.12305519 / (MW + TPSA))) + temperature))) / 2.0850663"
19,0.010194737,"cube(square(LogP) - (cube(0.13398574) * ((density * (0.12305519 / (MW + exp(TPSA)))) + temperature))) / 2.0850663"
20,0.009044017,"cube(square(LogP) - (cube(0.13398574) * ((density * (0.12305519 / (MW + square(TPSA)))) + temperature))) / square(1.5269189)"
21,0.008938104,"cube(square(LogP) - (cube(0.13398574) * ((((0.13398574 / MW) / (TPSA + 1.1254112)) * density) + temperature))) / square(1.516338)"
22,0.008449482,"cube(square(LogP) - (cube(0.13398574) * (((density * (0.12305519 / (MW - square(TPSA)))) + TPSA) + temperature))) / square(-1.5332407)"
23,0.00840774,"cube(square(LogP) - (cube(0.13398574) * ((density * ((0.13398574 / MW) / (1.1254112 - TPSA))) + (temperature + TPSA)))) / square(1.516338)"
24,0.008222789,"(cube(square(LogP) - (cube(0.13398574) * (((density * (0.12305519 / (MW - square(TPSA)))) + TPSA) + temperature))) - 0.04699574) / square(1.5796088)"
25,0.008060331,"(cube(square(LogP) - (cube(0.13398574) * ((density * ((0.13398574 / MW) / (1.1254112 - TPSA))) + temperature))) - cube(square(LogP))) / square(-1.5332407)"
27,0.007992206,"(cube(square(LogP) - (cube(0.13398574) * ((density * ((0.13398574 / MW) / (1.1254112 - TPSA))) + (temperature + TPSA)))) - (1.1254112 / MW)) / square(-1.5332407)"
28,0.006023876,"(cube(square(LogP) - (cube(0.13398574) * ((density * (0.12305519 / (MW + square(TPSA)))) + temperature))) - (1.516338 / (1.5746955 + (density / temperature)))) / square(1.5485276)"
29,0.006019692,"(cube(square(LogP) - (((density * ((0.13398574 / MW) / (1.1254112 + TPSA))) + temperature) * cube(0.13398574))) - (1.516338 / (1.5746955 + (density / temperature)))) / square(1.5485276)"
30,0.005561815,"(cube(square(LogP) - (cube(0.13398574) * ((density * (0.12305519 / (MW - square(TPSA)))) + (temperature + TPSA)))) - (1.516338 / (1.5746955 + (density / temperature)))) / square(1.5485276)"
32,0.0054054908,"(cube(square(LogP) - (cube(0.13398574) * ((density * (0.12305519 / (MW - square(TPSA)))) + (temperature + TPSA)))) - (1.516338 / (1.5746955 + (density / (temperature + temperature))))) / square(1.5485276)"
33,0.0052404255,"(cube(square(LogP) - (cube(0.13398574) * ((density * ((0.13398574 / MW) / (1.1087359 - TPSA))) + (temperature + TPSA)))) - (1.2893168 / (1.2893168 + (density / (temperature + temperature))))) / square(-1.5533786)"
34,0.0049103787,"((cube(square(LogP) - (cube(0.13398574) * ((density * (0.12305519 / (MW - square(TPSA)))) + (temperature + TPSA)))) - (1.516338 / (1.5746955 + (density / (temperature + temperature))))) / square(1.5485276)) - -0.028167956"
