Complexity,Loss,Equation
1,0.064327575,"-0.30963564"
2,0.06431866,"cube(-0.67437685)"
3,0.028402446,"-0.011767305 * temperature"
5,0.028186694,"(temperature * -0.012666322) - -0.03185224"
6,0.027436214,"(sqrt(TPSA) - temperature) * 0.012488173"
7,0.023008369,"((4.0936046 - temperature) / LogP) / TPSA"
8,0.022406625,"sin((4.0936046 - temperature) / LogP)"
9,0.022390231,"sin((square(-2.0320625) - temperature) / LogP)"
10,0.019167695,"(temperature * -0.008542614) * exp(0.012488173 / (TPSA / density))"
11,0.015963908,"-0.008542614 * (temperature * exp(square(0.015005777 / (TPSA / density))))"
12,0.015758868,"-0.008542614 * (temperature * cube(exp(square(-0.008542614 / (TPSA / density)))))"
13,0.015624994,"-0.008542614 * (temperature * exp(square(-0.013450756 / ((TPSA / density) * -0.93188065))))"
14,0.012928741,"tan(-0.008542614 * (temperature * exp(square(0.013376793 / (TPSA / density)))))"
15,0.012928314,"tan(-0.008542614 * (temperature * exp(square(0.013376793 / (square(TPSA) / density)))))"
16,0.012517924,"tan(-0.008542614 * ((temperature + -1.0751685) * exp(square(-0.013450756 / (TPSA / density)))))"
17,0.011777325,"tan((-0.008542614 * (temperature * exp(0.012488173 / (TPSA / density)))) + (0.12293816 / MW))"
18,0.010761946,"tan((0.07533879 / MW) + ((temperature * exp(square(0.013870851 / (TPSA / density)))) * -0.008542614))"
19,0.010761555,"tan((0.07533879 / MW) + ((temperature * exp(square(0.013870851 / (square(TPSA) / density)))) * -0.008542614))"
20,0.010724123,"tan((0.07533879 / MW) + ((temperature * exp(square(-0.013450756 / (TPSA / (density + TPSA))))) * -0.008542614))"
21,0.0104295155,"tan(sinh((temperature * exp(square(-0.013450756 / (TPSA / density)))) * -0.008542614) + (0.07533879 / MW))"
22,0.009894508,"tan(sinh((temperature * exp(sqrt(cube(0.012488173 / (TPSA / density))))) * -0.008542614) + (0.09445714 / MW))"
23,0.009650089,"tan(sinh((exp(cube(sqrt(0.012488173 / (TPSA / density)))) * temperature) * -0.008542614) + (0.09445714 / sqrt(MW)))"
24,0.009641149,"tan(sinh((temperature * exp(sqrt(cube(0.012488173 / (cube(TPSA) / density))))) * -0.008542614) + (0.09445714 / sqrt(MW)))"
25,0.009631963,"tan(sinh((exp(cube(sqrt(0.012488173 / (TPSA / (density + 0.4548585))))) * temperature) * -0.008542614) + (0.09445714 / sqrt(MW)))"
26,0.009119302,"sinh(tan(-0.008542614 * (temperature * exp(cube(sqrt(0.012488173 / (TPSA / density)))))) + ((0.034024153 / sqrt(MW)) * log(density)))"
27,0.0089265285,"tan(sinh((temperature * sqrt(exp(square((sin(log(density)) - 0.35058045) / TPSA)))) * -0.008542614) + (0.09445714 / sqrt(MW)))"
28,0.0086395275,"sinh(tan(-0.008542614 * (temperature * exp(cube(sqrt(0.012488173 / (TPSA / density)))))) + ((0.034024153 / (MW / sqrt(TPSA))) * log(density)))"
29,0.008629048,"tan((0.09445714 / (MW / sqrt(TPSA))) + sinh((temperature * sqrt(exp(square((sin(log(density)) - 0.3293826) / TPSA)))) * -0.008542614))"
30,0.00838399,"tan(sinh((0.080597185 / MW) + (((temperature * exp(square((sin(log(density)) - 0.3293826) / (1.3493994 * TPSA)))) - log(density)) * -0.008542614)))"
31,0.0083206715,"sinh(tan(-0.008542614 * (temperature * exp(square((sin(log(density)) - 0.31887513) / (-1.3651242 * TPSA))))) + ((0.034024153 / sqrt(MW)) * log(temperature)))"
32,0.007980659,"sinh(tan(-0.008542614 * (temperature * exp(square((0.34089562 - sin(log(density))) / (-1.3651242 * TPSA))))) + ((0.034024153 / sqrt(sqrt(MW))) * log(density)))"
33,0.007971692,"sinh(tan(-0.008542614 * (temperature * exp(square((0.3293826 - sin(log(density))) / (1.3743019 * TPSA))))) + ((0.034024153 / (MW / sqrt(TPSA))) * log(density)))"
34,0.007727716,"sinh(tan(-0.008542614 * (temperature * exp(square((0.3293826 - sin(log(density))) / (1.3743019 * TPSA))))) + ((0.034024153 / sqrt(MW / sqrt(TPSA))) * log(density)))"
35,0.007682164,"sinh(tan(-0.008542614 * (temperature * exp(square((0.3293826 - sin(log(density))) / (-1.3651242 * TPSA))))) + ((0.034024153 / sqrt(sqrt(MW / sqrt(TPSA)))) * log(density)))"
