Complexity,Loss,Equation
1,0.06313228,"-0.3039502"
3,0.034388214,"-0.0010500476 * temperature"
4,0.03259396,"-2.5825266e-6 * square(temperature)"
5,0.02838955,"0.23334916 + (-0.0017123385 * temperature)"
6,0.02645756,"(-3.8030572e-5 / nu) * square(temperature)"
8,0.025125874,"cube(-0.14011903 + (-0.021335222 * (temperature / nu)))"
9,0.018760445,"cube(((sqrt(density) + temperature) / nu) * -0.019449968)"
11,0.016550228,"cube(-0.020312123 * ((density / cube(nu)) + (temperature / nu)))"
13,0.015311009,"cube(-0.021335222 * (((density / 1.2493207) / cube(nu)) + (temperature / nu)))"
14,0.014446807,"cube(-0.025089262 * ((temperature + cube((density / cube(nu)) / Sigma)) / nu))"
15,0.013121012,"cube(((temperature + exp(sqrt((1.4758211 / cube(nu)) * density))) / nu) * -0.023747293)"
17,0.013080222,"cube(((temperature + exp(sqrt((1.4758211 / cube(nu)) * (density + temperature)))) / nu) * -0.023747293)"
18,0.012070663,"cube((((temperature - cube(Sigma)) + cube(sqrt(density / (cube(nu) / 1.7156608)))) / nu) * -0.025142103)"
20,0.011762752,"cube((((temperature - cube(Sigma)) + cube(sqrt(density / (cube(nu) / 1.6877204)))) / nu) * -0.025142103) + -0.018365225"
21,0.0113592995,"cube((((temperature - cube(cube(Sigma) / nu)) + cube(sqrt(density / (cube(nu) / 1.6173204)))) / nu) * -0.025142103)"
22,0.011139272,"cube(-0.025142103 * (((temperature - cube(Sigma)) + exp(sqrt(density / (cube(nu) - temperature)) - -0.5578484)) / nu)) + -0.037258297"
23,0.011081951,"cube(-0.025142103 * (((temperature - square(cube(Sigma) * -0.15746664)) + cube(sqrt(density / (cube(nu) / 1.6877204)))) / nu)) + -0.030269243"
24,0.011057838,"cube((((temperature - cube(Sigma)) + exp(sqrt(density / (cube(nu) - temperature)) - -0.5655817)) / nu) * -0.025142103) + (-0.13249515 / Sigma)"
25,0.009905111,"cube((((temperature + cube(sqrt(density / (cube(nu) / 1.6877204)))) / nu) - Sigma) * -0.025142103) + (-0.30571285 / exp(density / cube(nu)))"
26,0.009155403,"cube((((temperature - cube(Sigma)) + cube(sqrt(density / (cube(nu) / 1.6877204)))) / nu) * -0.025142103) + (-0.27529767 / exp(density / cube(nu)))"
28,0.008978222,"cube((((temperature - exp(Sigma + 0.28132638)) + cube(sqrt(density / (cube(nu) / 1.6877204)))) / nu) * -0.025142103) + (-0.27529767 / exp(density / cube(nu)))"
29,0.008573812,"cube((((temperature - square(cube(Sigma) * 0.15585059)) + cube(sqrt(density / (cube(nu) / 1.6877204)))) / nu) * -0.025142103) + (-0.30571285 / exp(density / cube(nu)))"
31,0.008412074,"cube((((temperature - square(cube(Sigma) * 0.15585059)) + cube(sqrt(density / (cube(nu) / 1.6877204)))) / nu) * -0.025142103) + (-0.26664338 / exp(density / (cube(nu) / 0.66525084)))"
33,0.008311542,"cube(-0.025142103 * (((temperature - square(cube(Sigma) * 0.15671723)) + cube(sqrt(density / (cube(nu) / 1.6877204)))) / nu)) + (-0.27529767 / sqrt(exp(density / (cube(nu) / log(Sigma)))))"
34,0.007981952,"sinh(cube((((temperature - square(cube(Sigma) * 0.15585059)) + cube(sqrt(density / (cube(nu) / square(log(Sigma)))))) / nu) * -0.025142103) + (-0.30571285 / exp(density / cube(nu))))"
