Complexity,Loss,Equation
1,0.0627518,"-0.30264023"
3,0.036813267,"-0.1459439 * temperature"
4,0.028906628,"-0.055571806 * square(temperature)"
6,0.020031698,"exp(density + temperature) * -0.014178694"
7,0.016042562,"-0.017343119 * exp(cube(density) + temperature)"
8,0.015360365,"cube(((density + temperature) * nu) * -0.016910395)"
9,0.011634046,"cube(-0.018228853 * (nu * (temperature + cube(density))))"
10,0.011500004,"cube(-0.018451048 * (nu * (temperature + square(square(density)))))"
11,0.0114372475,"cube((((temperature - -0.17026651) + cube(density)) * nu) * -0.017343119)"
12,0.011144185,"cube(-0.017343119 * (((temperature - -0.20804301) + square(square(density))) * nu))"
13,0.010692334,"cube(-0.23940341 * (temperature + cube(density))) - cube(nu / cube(Sigma))"
14,0.01047178,"cube(-0.017343119 * ((((temperature - -0.4478562) + square(square(density))) * nu) - Sigma))"
15,0.00952803,"cube(-0.23940341 * (temperature + cube(density))) - (square(0.27762064) / (exp(Sigma) - nu))"
16,0.0060730986,"cube((cube(density) + temperature) * -0.23940341) - (0.3136642 / ((exp(Sigma) + density) - nu))"
17,0.0051418254,"cube((cube(density) + temperature) * -0.23940341) - (0.19554488 / (square(density) + (exp(Sigma) - nu)))"
19,0.004740682,"cube((cube(density) + temperature) * -0.23940341) - (0.5466814 / ((density + (exp(Sigma) - nu)) / log(temperature)))"
20,0.004138616,"cube((cube(density) + temperature) * -0.23940341) - ((log(temperature) / Sigma) / (square(density) + (exp(Sigma) - nu)))"
22,0.0041118716,"cube((cube(density) + temperature) * -0.23940341) - ((log(temperature) / Sigma) / ((square(density) * 0.89268637) + (exp(Sigma) - nu)))"
23,0.004032451,"cube((cube(density) + temperature) * -0.23940341) - (log(1.4448001) / ((square(density) + (exp(Sigma) - nu)) / log(temperature - 0.12492598)))"
24,0.0038999147,"cube((cube(density) + temperature) * -0.23940341) - ((log(temperature) / Sigma) / (square(density / (temperature + -0.90834236)) + (exp(Sigma) - nu)))"
26,0.0038630045,"cube((cube(density) + temperature) * -0.23940341) - ((log(temperature) / Sigma) / ((square(density / (temperature - 1.1003163)) / 1.8895861) + (exp(Sigma) - nu)))"
27,0.0038211832,"cube((cube(density) + temperature) * -0.23940341) - ((log(temperature) / Sigma) / (square(sin(density) / (temperature + -0.90834236)) + (exp(Sigma) - nu)))"
28,0.0037472066,"cube((cube(density) + temperature) * -0.23940341) - ((log(temperature) / Sigma) / (square(density / (temperature + (-0.90834236 + square(cube(density))))) + (exp(Sigma) - nu)))"
29,0.0036826485,"sinh(cube(((cube(density) * density) + temperature) * -0.23940341) + ((log(temperature) / (exp(exp(Sigma) - nu) / (density + -1.093614))) * temperature)) + -0.012695649"
31,0.003583066,"sinh(cube(((density * cube(density)) + temperature) * -0.23940341) + ((0.653878 / (exp(exp(Sigma) - nu) / cube((density / temperature) + -1.093614))) * temperature)) + -0.012695649"
32,0.0035000832,"sinh(cube(((density * cube(density)) + temperature) * -0.23940341) + (square(temperature) / ((Sigma * exp(exp(Sigma) - nu)) / cube((density / temperature) + -1.093614)))) + -0.012695649"
34,0.0034482046,"sinh((square(temperature * -0.98242676) / ((Sigma * exp(exp(Sigma) - nu)) / cube((density / temperature) + -1.093614))) + cube(((density * cube(density)) + temperature) * -0.23940341)) + -0.012695649"
35,0.003446932,"sinh(cube(((density * cube(density)) + temperature) * -0.23940341) + (((temperature / ((Sigma * exp(exp(Sigma) - nu)) / cube((density / temperature) + -1.093614))) * temperature) / 1.0495739)) + -0.012695649"
