Complexity,Loss,Equation
1,0.38382435,"0.7886396"
2,0.27216816,"log(temperature)"
3,0.17911577,"temperature + -1.0842049"
4,0.1324295,"sqrt(temperature) - density"
5,0.0690688,"-0.55697477 + (temperature - density)"
6,0.048893843,"cube(temperature / (density - -1.6466879))"
7,0.03952745,"square((0.79614294 * temperature) - sqrt(density))"
8,0.03809571,"square(temperature / (-1.3104013 - density)) - 0.39687347"
9,0.035523806,"(0.58820635 * square(sqrt(density) - temperature)) - 0.1578524"
10,0.028835285,"cube((temperature - density) / (nu - cube(cube(density))))"
11,0.026068844,"square((sin(density * 2.3054488) - temperature) / -1.3515825)"
12,0.020842433,"square((temperature - square(sin(2.3511806 * density))) / 1.4785005)"
13,0.019721024,"square((sin(exp(sqrt(density)) * density) - temperature) / -1.4293668)"
14,0.017240569,"square((temperature - square(sin(density * (temperature - -0.34888074)))) / 1.4818354)"
15,0.014930447,"square((temperature - sin(density * ((temperature * density) - -0.8927065))) / -1.4566814)"
16,0.0119400155,"square((square(0.8605793 * sin(2.3601623 * density)) - temperature) / 1.4124948) - 0.27800578"
18,0.009829196,"square((square(-0.87551636 * sin((temperature + 0.27800578) * density)) - temperature) / 1.4124948) - 0.27800578"
20,0.009224381,"square((square(sin((0.96010935 + temperature) * (density / 1.279468)) * 0.872998) - temperature) / 1.4124948) - 0.27584967"
21,0.009218619,"square((square(sin((0.9748629 + temperature) * (density / 1.279468)) * square(0.93065125)) - temperature) / 1.4124948) - 0.27584967"
22,0.009064033,"(-0.27042884 + square((temperature - square(sin((temperature + 0.9748629) * (density / 1.279468)) * 0.872998)) / -1.3979598)) * 0.9748629"
23,0.00903374,"(-0.27042884 + square((temperature - square(sin((temperature + 0.9748629) * (density / sqrt(nu))) * 0.872998)) / -1.3979598)) * 0.9748629"
24,0.008903478,"(square((temperature - square(sin(density * ((temperature * (epsilon_AB + -0.33641213)) + Epsilon)) * 0.872998)) / -1.3979598) + -0.27042884) * 0.9748629"
26,0.007635097,"sqrt((sqrt(density) / 1.275901) - 0.11796546) + (square((temperature - density) / cosh(Kappa_AB)) - sin(density * (temperature + density)))"
28,0.0075046215,"(square(((temperature - density) * 1.0066262) / cosh(Epsilon)) - sin(density * (temperature + density))) + sqrt((sqrt(density) / 1.287298) - 0.11796546)"
29,0.0074381256,"(square(((temperature - density) * 1.0066262) / cosh(Epsilon)) - sin(density * (temperature + density))) + sqrt((sqrt(density) / cube(1.0935225)) - 0.11796546)"
32,0.007408568,"(square(((temperature - density) * 1.0066262) / cosh(Epsilon)) - sin(density * (temperature + density))) + sqrt(sinh((sqrt(density) / cube(1.0935225)) - 0.11796546))"
33,0.0072603645,"sqrt(((sqrt(density) / 1.287298) - cube(0.11796546 / Sigma)) - 0.11796546) + (square(((temperature - density) * 1.0066262) / cosh(Epsilon)) - sin(density * (temperature + density)))"
