Complexity,Loss,Equation
1,0.05331271,"-0.2860807"
2,0.053242102,"cube(-0.6652846)"
3,0.026841033,"-0.1424918 * temperature"
4,0.017437086,"-0.05447306 * square(temperature)"
6,0.0075469953,"cube(-0.22522265 * (temperature + density))"
7,0.0033488658,"cube(-0.24257736 * (temperature + cube(density)))"
8,0.0031370784,"exp(cube(density)) * cube(temperature * -0.24030331)"
9,0.003002509,"exp(square(square(density))) * cube(temperature * -0.24375276)"
10,0.0023712507,"cube(-0.21280123 * (temperature + 0.36112)) * exp(cube(density))"
11,0.0017692706,"square((temperature / cos(density)) - density) * -0.049224105"
13,0.0017398712,"(-0.054852225 * square((temperature / cos(density)) - density)) / nu"
14,0.0016122594,"-0.028472623 + (square(sqrt(density) - (temperature / cos(density))) * -0.04983928)"
16,0.0014555762,"-0.052453075 + ((square(sqrt(density) - (temperature / cos(density))) - density) * -0.04983928)"
17,0.0007701977,"(square((0.57697064 - temperature) / cos(density)) * -0.051977288) - cube(square(density + -0.76886785))"
19,0.00074936025,"(square((temperature - 0.57697064) / cos(density)) * -0.051977288) - (cube(square(-0.7617965 + density)) / Sigma)"
20,0.0007403224,"(square((0.57697064 - temperature) / cos(density)) * -0.051977288) - square(square(square((Sigma * density) + -0.8285679)))"
21,0.0007109155,"(square((0.57697064 - temperature) / cos(density)) * -0.051977288) - square(square(square((cube(Sigma) * density) + -0.8285679)))"
23,0.00057733216,"((square((temperature - 0.6661117) / cos(density * Sigma)) * (-0.043375053 / Sigma)) / 0.7604227) - square(cube(-0.76986724 + density))"
24,0.0005044116,"(((-0.043375053 / Sigma) * square((temperature - 0.6661117) / cos(density * Sigma))) / 0.7604227) - square(square(square(-0.820687 + density)))"
26,0.00046253589,"(((-0.043375053 / Sigma) * square((temperature - 0.6661126) / cos(density * Sigma))) / cube(0.9115661)) - cube(square((density * 1.2762988) + -0.76886785))"
27,0.00040019176,"(((-0.043375053 / Sigma) * square((temperature - 0.6661117) / cos(density * Sigma))) / cube(0.9115661)) - (square(cube(density + -0.7837348)) / sqrt(temperature))"
28,0.00030998373,"(((-0.043375053 / Sigma) * square((temperature - 0.6661117) / cos(density * Sigma))) / cube(0.9115661)) - ((square(cube(density + -0.7837348)) / 0.6661117) / temperature)"
29,0.00030460279,"((((-0.0485677 / nu) / Sigma) * square((temperature - 0.6661117) / cos(density * Sigma))) / 0.7604227) - ((square(cube(density + -0.7837348)) * 1.6626048) / temperature)"
30,0.00027944293,"((((-0.0485677 / nu) / Sigma) * square((temperature - 0.6661117) / cos(density * Sigma))) / cube(0.9115661)) - ((square(cube(density + -0.76886785)) * 1.6626048) / temperature)"
31,0.00023691055,"((((-0.0485677 / nu) / Sigma) * square((temperature - 0.6661117) / cos(density * Sigma))) / 0.7604227) - ((square(cube((density / 0.7604227) + -0.7837348)) * 1.6626048) / temperature)"
32,0.00023681909,"((((-0.0485677 / nu) / Sigma) * square((temperature - 0.6661117) / cos(density * Sigma))) / cube(0.9115661)) - ((square(cube((density / 0.7604227) + -0.7837348)) * 1.6626048) / temperature)"
33,0.00022553209,"((((-0.0485677 / nu) / Sigma) * square((0.6661117 - temperature) / cos(Sigma * density))) / 0.7604227) - ((1.6626048 * square(cube((density / (0.7604227 + 0.011579569)) + -0.7837348))) / temperature)"
35,0.00022109962,"((((-0.0485677 / nu) / Sigma) * square((temperature - 0.6661117) / cos(density * Sigma))) / cube(0.9115661)) - ((square(cube((density / exp(-0.2730301 / nu)) + -0.7837348)) * 1.6626048) / temperature)"
