Complexity,Loss,Equation
1,0.19481505,"-0.41948703"
2,0.19481462,"cube(-0.7481755)"
3,0.1301405,"0.7989215 - nu"
4,0.12742972,"cube(-0.594288 * nu)"
5,0.07036349,"Epsilon * (1.0729462 - temperature)"
6,0.064811625,"(-0.4409262 - Kappa_AB) * log(temperature)"
7,0.04782043,"cube(exp(Epsilon) * (-0.19348375 * temperature))"
9,0.040019467,"0.45330104 + (Epsilon * ((density * Kappa_AB) - temperature))"
10,0.030905705,"(-0.4287502 - (epsilon_AB / sqrt(density))) * square(log(temperature))"
11,0.024933362,"(-0.4287502 - (epsilon_AB / (density - -0.20455316))) * square(log(temperature))"
13,0.02336675,"square(square(density - Epsilon) + (temperature - Sigma)) * (Epsilon * -0.39855295)"
14,0.01796089,"square(square(density - Epsilon) + (temperature - cube(Sigma))) * (Epsilon * -0.32575285)"
15,0.012262265,"square(square(density - epsilon_AB) + (temperature - 0.92588)) * ((Epsilon + Kappa_AB) * -0.26139942)"
16,0.011594335,"((Kappa_AB + Epsilon) * -0.27058774) * square((temperature - Sigma) + square(square(density - Kappa_AB)))"
17,0.009143306,"((Epsilon + Kappa_AB) * -0.26139942) * square((temperature - Sigma) + square(Epsilon - (density / 0.7249462)))"
18,0.0089744385,"((Epsilon + Kappa_AB) * -0.26139942) * square((temperature - Sigma) + square(Epsilon - (density / log(2.0183303))))"
19,0.008596694,"((Kappa_AB + Epsilon) * -0.2664597) * square((temperature - Sigma) + (square(Epsilon - (density / 0.68066)) * 0.9187168))"
20,0.008363915,"((Epsilon + Kappa_AB) * -0.2664597) * square(sin(square(Epsilon - (density / 0.68066))) + (temperature - Sigma))"
22,0.0081322,"((-0.2664597 * (Kappa_AB + Epsilon)) / Sigma) * square((temperature - sqrt(Sigma)) + (square(Epsilon - (density / 0.7249462)) * Sigma))"
23,0.0077578877,"((-0.25969437 * (epsilon_AB + Epsilon)) / Sigma) * square((temperature - sqrt(Sigma)) + (square(Epsilon - (density / log(2.0183303))) * Sigma))"
25,0.0077526174,"(((-0.2664597 / 1.027831) * (Kappa_AB + Epsilon)) / Sigma) * square((temperature - sqrt(Sigma)) + (square(Epsilon - (density / log(2.0183303))) * Sigma))"
26,0.0076441187,"((-0.2664597 * (Kappa_AB + Epsilon)) / Sigma) * square((temperature - Sigma) + ((square((density / log(2.0183303)) - Epsilon) - (0.14660917 * Epsilon)) * Sigma))"
27,0.006905301,"((Epsilon + Kappa_AB) * ((temperature - cube(Sigma)) * -0.34870714)) * (square(-1.2177811 * ((tan(density) / Sigma) - Epsilon)) + (temperature - cube(1.111302)))"
28,0.006631105,"((square(1.2001917 * ((tan(density) / Sigma) - Epsilon)) + (temperature - 1.3497484)) * ((Epsilon + Kappa_AB) * ((temperature - cube(Sigma)) * -0.34444872))) + -0.02463188"
29,0.006315467,"((square(1.2001917 * ((tan(density) / sqrt(Sigma)) - Epsilon)) + (temperature - 1.3497484)) * ((Epsilon + Kappa_AB) * ((temperature - cube(Sigma)) * -0.34444872))) + -0.02463188"
30,0.006210584,"((square(1.2001917 * ((tan(density) / sqrt(Sigma)) - Epsilon)) + (temperature - cube(1.111302))) * ((Epsilon + Kappa_AB) * ((temperature - cube(Sigma)) * -0.34444872))) + -0.02463188"
31,0.006106442,"(((Epsilon + Kappa_AB) * ((temperature - cube(Sigma)) * -0.34444872)) * (square(-1.2177811 * ((tan(density) / (Sigma / 0.9701471)) - Epsilon)) + (temperature - cube(1.1121548)))) + -0.02463188"
32,0.005866718,"((Epsilon + epsilon_AB) * ((temperature - cube(cube(Sigma))) * -0.350176)) * (square(-1.2487259 * (tan(density) - sin(Epsilon))) + ((temperature - (1.1225284 - -0.25917372)) * 0.87413645))"
34,0.0058648963,"((Epsilon + epsilon_AB) * (((temperature - cube(cube(Sigma))) + 0.0068917084) * -0.350176)) * (square(-1.2487259 * (tan(density) - sin(Epsilon))) + ((temperature - (1.1225284 - -0.25917372)) * 0.87413645))"
35,0.0055782315,"((square((tan(density) - sin(Epsilon)) * -1.34885) + (temperature - cosh(-0.8516199))) * ((Epsilon + epsilon_AB) * ((-0.3635401 / 1.1526395) * (temperature - cube(square(Sigma)))))) - 0.027307862"
