Complexity,Loss,Equation
1,0.064747244,"-0.30762005"
2,0.064732105,"cube(-0.67791194)"
3,0.029292,"temperature * -0.011917903"
5,0.02913125,"(temperature - 2.3735988) * -0.012822069"
6,0.023141423,"sin((4.1869206 - temperature) / LogP)"
7,0.022297988,"sinh(sin((4.1869206 - temperature) / LogP))"
8,0.022194007,"tan(sin((sqrt(temperature) - temperature) / LogP))"
9,0.022080759,"tan((temperature - 4.1173477) / (cos(3.025863) - LogP))"
10,0.02177529,"tan(sin((log(LogP + temperature) - temperature) / LogP))"
11,0.02163046,"tan((temperature - 4.1173477) / (cos(3.025863) - LogP)) * 0.9643069"
12,0.01850534,"sin(-0.012822069 / (LogP / ((temperature * (temperature + density)) / TPSA)))"
13,0.013641252,"-0.0119673 / (LogP / (((temperature * (density + temperature)) / TPSA) - density))"
14,0.013039392,"sinh(-0.0119673 / (LogP / (((temperature * (density + temperature)) / TPSA) - density)))"
15,0.0129546765,"tan(sin(-0.0119673 / (LogP / (((temperature * (density + temperature)) / TPSA) - density))))"
16,0.012779294,"sinh(-0.011584208 / (LogP / (((temperature * (temperature + density)) / TPSA) - (density - LogP))))"
17,0.012749809,"tan(sin(-0.0119673 / (LogP / (((temperature * (density + temperature)) / TPSA) - density)))) - 0.01867639"
18,0.011736257,"sinh(-0.010171742 / ((LogP * cos(sin(Molecular_Weight))) / (((temperature * (temperature + density)) / TPSA) - density)))"
19,0.011373401,"tan(-0.010171742 / ((LogP * cos(square(sin(Molecular_Weight)))) / (((temperature * (temperature + density)) / TPSA) - density)))"
20,0.011250678,"tan(-0.010171742 / ((LogP * cos(sin(Molecular_Weight))) / (((temperature * (temperature + (density * 0.82850766))) / TPSA) - density)))"
21,0.009465176,"tan(-0.010171742 / ((LogP * cos(sin(log(density)) / Molecular_Weight)) / (((temperature * (temperature + density)) / TPSA) - density)))"
22,0.008148993,"tan(-0.010171742 / ((LogP * cos(sin(tan(log(density))) / Molecular_Weight)) / (((temperature * (temperature + density)) / TPSA) - density)))"
23,0.00795397,"tan(-0.010171742 / ((LogP * cos(square(sin(tan(log(density))) / Molecular_Weight))) / (((temperature * (temperature + density)) / TPSA) - density)))"
24,0.0075497334,"tan(-0.010171742 / ((LogP * cos(sin(tan(log(density))) / Molecular_Weight)) / ((((temperature * (temperature + density)) + Molecular_Weight) / TPSA) - density)))"
25,0.007350839,"tan(-0.010171742 / ((LogP * cos(square(sin(tan(log(density))) / Molecular_Weight))) / ((((temperature * (temperature + density)) + Molecular_Weight) / TPSA) - density)))"
26,0.007303604,"tan(sin(sinh(-0.010171742 / ((LogP * sqrt(cos((sin(sqrt(density)) / Molecular_Weight) - -0.3108926))) / (((temperature * (density + temperature)) / TPSA) - density)))))"
27,0.0071647274,"tan(-0.010171742 / ((LogP * cos(square(sin(tan(log(density))) / Molecular_Weight))) / (((((temperature * (temperature + density)) + Molecular_Weight) + LogP) / TPSA) - density)))"
28,0.006674544,"tan(sin(sinh(-0.010171742 / ((LogP * sqrt(cos((sin(sqrt(density)) - -0.3108926) / Molecular_Weight))) / ((((temperature * (density + temperature)) / TPSA) - density) + Molecular_Weight)))))"
29,0.006655999,"tan(sin(sinh(-0.010171742 / ((LogP * sqrt(cos((sin(sqrt(density)) - -0.3108926) / cube(Molecular_Weight)))) / ((((temperature * (density + temperature)) / TPSA) - density) + Molecular_Weight)))))"
30,0.0064860196,"tan(sin(sinh(-0.010171742 / ((LogP * sqrt(cos((sin(sqrt(density)) - -0.3108926) / Molecular_Weight))) / (((((temperature * (density + temperature)) + Molecular_Weight) / TPSA) - density) + Molecular_Weight)))))"
31,0.0064673526,"tan(sin(sinh(-0.010171742 / ((LogP * sqrt(cos((sin(sqrt(density)) - -0.3108926) / square(Molecular_Weight)))) / ((((((density + temperature) * temperature) + Molecular_Weight) / TPSA) - density) + Molecular_Weight)))))"
32,0.006233205,"tan(sin(sinh(-0.010171742 / ((LogP * sqrt(cos((sin(sqrt(density)) - -0.3108926) / Molecular_Weight))) / ((((((temperature * (density + temperature)) - density) + Molecular_Weight) / TPSA) - density) + Molecular_Weight)))))"
33,0.0062151444,"tan(sin(sinh(-0.010171742 / ((LogP * sqrt(cos((sin(sqrt(density)) - -0.3108926) / cube(Molecular_Weight)))) / ((((((temperature * (density + temperature)) - density) + Molecular_Weight) / TPSA) - density) + Molecular_Weight)))))"
34,0.006214545,"sinh(sinh(sin(sinh(-0.010171742 / ((LogP * sqrt(cos((sin(sqrt(density)) - -0.3108926) / square(Molecular_Weight)))) / ((((((temperature * (density + temperature)) - density) + Molecular_Weight) / TPSA) - density) + Molecular_Weight))))))"
35,0.0062054554,"tan(sin(sinh(-0.010171742 / sin((LogP * sqrt(cos(((sin(sqrt(density)) - -0.3108926) / Molecular_Weight) / TPSA))) / ((((((temperature * (density + temperature)) - density) + Molecular_Weight) / TPSA) - density) + Molecular_Weight)))))"
