Complexity,Loss,Equation
1,6.246144e-5,"0.024063239"
2,6.246143e-5,"tan(0.024058156)"
4,5.8924514e-5,"cos(temperature) * 0.025211949"
5,5.7864538e-5,"(-0.014040755 * temperature) + 0.027697874"
6,5.7864527e-5,"tan(0.027689116 + (-0.014028141 * temperature))"
7,5.741615e-5,"0.025682783 * cos(temperature / cos(Melting_Point))"
8,5.510412e-5,"square(0.087924354 / (temperature - Melting_Point)) + 0.023795826"
9,4.7048114e-5,"0.023795826 + (square(-0.042549174) / (cube(temperature) - Melting_Point))"
10,3.8398644e-5,"cube(square(0.087924354) / (cube(temperature) - Melting_Point)) + 0.023795826"
11,1.195797e-5,"(square(0.087924354) / (cube(temperature + density) - Melting_Point)) + 0.023795826"
12,1.0472804e-5,"(square(0.087924354) / (cube(tan(temperature + density)) - Melting_Point)) + 0.023795826"
13,8.880982e-6,"tan(square(0.087924354) / (cube(tan(temperature + density)) - Melting_Point)) + 0.023795826"
14,7.1458317e-6,"tan((square(-0.08400117) / cube(tan(temperature - square(Melting_Point)) + density)) + 0.024064183)"
15,5.2035807e-6,"tan(-0.031464327 / (cube(-1.0686544 - cube(temperature)) - inv(Melting_Point - (density - -0.8247251))))"
16,4.401919e-6,"tan(-0.031464327 / (cube(-1.0686544 - cube(sin(temperature))) - inv(Melting_Point - (density - -0.8247251))))"
17,4.32511e-6,"tan(-0.031464327 / (cube(-1.0686544 - cube(sin(temperature))) - inv(Melting_Point - (cube(density) - -0.8247251))))"
18,4.2584943e-6,"tan(-0.031464327 / (cube(-1.0686544 - cube(sin(temperature))) - inv(Melting_Point - (tan(cube(density)) - -0.8247251))))"
19,4.161739e-6,"tan(-0.031464327 / (cube(-1.0686544 - cube(sin(temperature))) - inv(Melting_Point - (square(tan(cube(density))) - -0.8247251))))"
20,3.894178e-6,"tan(tan(-0.031464335 / (cube(-1.068645 - cube(sin(sin(temperature) / 0.9197581))) - inv(Melting_Point - (density - -0.82472503)))))"
21,3.8348803e-6,"tan(tan(-0.031464335 / (cube(-1.068645 - cube(sin(sin(temperature / 0.9277467)))) - inv(Melting_Point - (sqrt(density) - -0.82472503)))))"
22,3.7619752e-6,"sinh(sinh(tan(-0.031464335 / (cube(-1.068645 - cube(sin(sin(temperature / 0.9277467)))) - inv(Melting_Point - (sqrt(density) - -0.82472503))))))"
24,3.7286748e-6,"tan(tan(-0.031464335 / (cube(-1.068645 - cube(sin(sin(sin(sinh(temperature)) / 0.9277467)))) - inv(Melting_Point - (sqrt(sqrt(density)) - -0.82472503)))))"
25,3.690765e-6,"sinh(tan(tan(sin(-0.031464335 / (cube(-1.068645 - cube(sin(sin(sin(sinh(temperature)) / 0.9277467)))) - inv(Melting_Point - (sqrt(density) - -0.82472503)))))))"
26,3.6297174e-6,"sinh(tan(tan(sin(-0.031464335 / (cube(-1.068645 - cube(sin(sin(sin(sinh(temperature)) / 0.9277467)))) - inv(Melting_Point - (sqrt(sqrt(density)) - -0.82472503)))))))"
27,3.623283e-6,"sinh(tan(tan(sin(-0.031464335 / (cube(-1.068645 - cube(sin(sin(sin(sinh(temperature)) / 0.9277467)))) - inv(Melting_Point - (sqrt(sqrt(sqrt(density))) - -0.82472503)))))))"
28,3.5863393e-6,"sinh(sin(tan(tan(tan(-0.031464335) / (cube(-1.068645 - cube(sin(sin(sin(temperature) / 0.9277467)))) - inv(Melting_Point - (sqrt(sqrt(tan(tan(density)))) - -0.82472503)))))))"
29,3.578486e-6,"sinh(sin(tan(tan(tan(-0.031464335) / (cube(-1.068645 - tan(cube(sin(sin(sin(temperature) / 0.9277467))))) - inv(Melting_Point - (sqrt(sqrt(tan(tan(density)))) - -0.82472503)))))))"
