Complexity,Loss,Equation
1,0.0537358,"-0.29521045"
2,0.053735692,"cube(-0.6655847)"
3,0.024549598,"-0.005998354 * temperature"
5,0.021299105,"(temperature * -0.00011118363) * density"
6,0.01807928,"sqrt(density) * (temperature * -0.0008957743)"
7,0.011649319,"(temperature / (density + -138.43483)) * 0.4872387"
9,0.010188449,"0.5684026 * ((temperature - 11.005894) / (density + -135.75392))"
10,0.0086039575,"tan(temperature / (density + -170.17914)) * 0.5712424"
12,0.008480041,"-1.5539374 * (cosh(temperature / (-170.19348 + density)) + -0.9458785)"
13,0.0084521985,"cube(cube(-0.14616643) * (MW + ((2.165525 * temperature) + density))) - 0.025988782"
14,0.0071836323,"(-0.36839217 / density) + (0.52314734 * tan(temperature / (-166.80159 + density)))"
15,0.0059360364,"(-0.50784415 / density) + cube(cube(-0.1499927) * ((density + (1.9158839 * temperature)) + MW))"
17,0.005419817,"(1.1066484 / (-2.244162 - density)) + cube(cube(-0.1499927) * (((1.8907003 * temperature) + density) + MW))"
18,0.0052838787,"(density / (-3.0188115 - square(density))) + cube(cube(-0.1499927) * (((temperature * 1.8906643) + density) + MW))"
19,0.0051315282,"((-1.1379786 / (density + 2.0619144)) + cube(cube(-0.1499927) * ((density + (1.9158839 * temperature)) + MW))) - -0.016983112"
20,0.0044546053,"(-0.55195343 / ((square(density) / MW) + 1.9158839)) + cube(((density + (1.9158839 * temperature)) + MW) * cube(-0.1499927))"
22,0.004400242,"((-0.56039727 / ((square(density) / MW) + 1.9158839)) + cube(((density + (1.9158839 * temperature)) + MW) * cube(-0.1499927))) + 0.003414138"
23,0.0039835977,"(-0.6398842 / ((square(density) / MW) + 1.9545642)) + tan(cube(((density + (temperature * 1.7813492)) + MW) * cube(-0.1499927)))"
24,0.0038847567,"(-0.99027896 / ((square(density) / MW) + square(1.8906643))) + tan(cube((((temperature * 1.7941474) + density) + MW) * cube(-0.1499927)))"
26,0.0036585703,"sinh(cube(cube(-0.1499927) * (MW + ((temperature * 1.8906643) + density))) + (-0.99027896 / ((square(density) / (MW - density)) + square(-1.9361987))))"
28,0.0034385254,"sinh(cube(cube(-0.1499927) * (MW + ((temperature * 1.8906643) + density))) + (-0.99027896 / ((square(density) / ((MW - density) / 0.5263375)) + square(2.0619144))))"
29,0.0034374974,"sinh(cube(cube(-0.1499927) * (MW + ((temperature * 1.8906643) + density))) + (-0.99027896 / ((density / ((MW - density) / (density * 0.5190648))) + square(2.0619144))))"
30,0.0033628682,"sinh(cube(cube(-0.1499927) * (MW + (density + (1.9158839 * temperature)))) + (-0.99027896 / ((((square(density) + temperature) / (MW - density)) / 2.6248183) + square(1.9338195))))"
31,0.0031939084,"sinh(cube(cube(-0.1499927) * (MW + (density + (1.9158839 * temperature)))) + (-0.99027896 / ((cube((density / MW) + sqrt(density)) / (MW - density)) + square(-2.199888))))"
33,0.0031531365,"sinh(cube(cube(-0.1499927) * (MW + (density + (1.9158839 * temperature)))) + (-0.99027896 / ((cube(sqrt(density) + ((density / MW) + 0.5075913)) / (MW - density)) + square(-1.9980114))))"
35,0.0031402956,"sinh(cube(cube(-0.1499927) * (MW + (density + (1.9158839 * temperature)))) + (-0.99027896 / ((cube(sqrt(density) + ((density / MW) + 0.5075913)) / ((MW + -1.2017932) - density)) + square(-1.9980114))))"
