Complexity,Loss,Equation
1,0.28730673,"-0.5011128"
2,0.2871662,"cube(-0.8004335)"
3,0.19049269,"0.05616403 - Epsilon"
4,0.18783465,"-0.20666939 * cube(nu)"
5,0.10036364,"Epsilon * (1.0112143 - temperature)"
6,0.09582344,"sqrt(Epsilon) - (temperature * Epsilon)"
7,0.06788545,"((density - temperature) * Epsilon) - -0.32990023"
8,0.059857637,"((sqrt(density) - temperature) * Epsilon) - -0.23823696"
9,0.05163207,"((density * Kappa_AB) - (Epsilon * temperature)) - -0.45610458"
10,0.04899703,"sinh(Epsilon * (density - temperature)) * 0.49327192"
11,0.041211292,"cube(((sqrt(density) - temperature) * Epsilon) - 0.55133384) * 0.15507522"
12,0.03222321,"((Epsilon + 0.23934692) - (Epsilon * temperature)) - square(density - Epsilon)"
13,0.02799285,"(exp(square(density - Epsilon)) * (Epsilon - (temperature * Epsilon))) - -0.2336034"
15,0.023151431,"((exp(square(Epsilon - density)) * (Epsilon - (temperature * Epsilon))) - -0.16769187) / 1.1334202"
17,0.020663463,"sinh((Epsilon - (Epsilon * temperature)) - (square(Epsilon - density) + -0.21691625)) * 0.7942687"
18,0.020533599,"sinh((Epsilon - (Epsilon * temperature)) - (square(Epsilon - density) + -0.21691625)) * square(-0.8861517)"
19,0.019649934,"(((exp(square(square(Epsilon) - density)) / Sigma) * (Epsilon - (temperature * Epsilon))) - -0.18169633) / cube(1.1288221)"
21,0.019621897,"(((exp(square(square(Epsilon) - density) * 1.0112143) / Sigma) * (Epsilon - (temperature * Epsilon))) - -0.18169633) / cube(1.1288221)"
22,0.014212687,"sqrt(Epsilon) * ((((sin(density * (temperature - -0.4945674)) / 0.7713) - temperature) / (0.945153 / log(nu))) * temperature)"
23,0.013186037,"Epsilon * ((((sin(density * (cube(density) + temperature)) / 0.7713) - temperature) / (sqrt(Epsilon) / log(nu))) * temperature)"
24,0.009373686,"sqrt(Epsilon) * ((((sin((density / nu) * (1.9218498 + temperature)) / 0.7713) - temperature) / (0.945153 / log(nu))) * temperature)"
26,0.008978712,"sqrt(Epsilon) * ((((sin((density * ((temperature - -1.1537613) + density)) / nu) / 0.7713) - temperature) / (0.9827029 / log(nu))) * temperature)"
27,0.0088569885,"((Epsilon - 0.15659647) * ((((sin((density / nu) * (1.9218498 + temperature)) / 0.7713) - temperature) / (Epsilon / log(nu))) * temperature)) / Sigma"
28,0.007238837,"(((((sin((temperature + 1.9504442) * (density / nu)) / 0.7713) - temperature) / ((Sigma / log(nu)) + 0.7280899)) * temperature) * sqrt(Epsilon)) / Sigma"
30,0.006919278,"(((((sin(((temperature + density) + 1.1288221) * (density / nu)) / 0.7713) - temperature) / ((Sigma / log(nu)) + Sigma)) * temperature) * sqrt(Epsilon)) / Sigma"
31,0.0066145454,"(((((sin(((temperature + density) + sqrt(nu)) * (density / nu)) / 0.751129) - temperature) / ((Sigma / log(nu)) + 0.7447827)) * temperature) * sqrt(Epsilon)) / Sigma"
32,0.0065021412,"(((((sin((temperature + exp(density)) * sin(density / nu)) / 0.751129) - temperature) / ((Sigma / log(nu)) + Sigma)) * temperature) * sqrt(Epsilon)) / Sigma"
33,0.0064639132,"(sqrt(Epsilon) * (temperature * (((sin(((temperature + density) + sqrt(nu)) * (density / nu)) / 0.751129) - temperature) / ((square(Sigma) / log(nu)) + Sigma)))) / sqrt(Sigma)"
35,0.00633607,"(((((sin((temperature + exp(density)) * sin(density / nu)) / 0.751129) - temperature) / ((Sigma / log(nu)) + exp(0.20853956))) * temperature) * sqrt(0.40020096 + epsilon_AB)) / Sigma"
