Complexity,Loss,Equation
1,0.4245523,"-0.7503566"
3,0.27089402,"temperature * -0.011032679"
4,0.21989408,"-0.00013506066 * square(temperature)"
5,0.2066563,"(-0.02319263 * temperature) + 0.9678305"
8,0.2009578,"(-0.0220285 * (temperature - sqrt(density))) - -0.721246"
9,0.19285071,"exp(cube(0.87862444 / density)) + (-0.02319263 * temperature)"
10,0.16383687,"exp((TPSA / temperature) / density) + (-0.02319263 * temperature)"
11,0.12069456,"exp(cube((TPSA / temperature) / density)) + (-0.02319263 * temperature)"
12,0.120681904,"exp(cube((TPSA / temperature) / square(density))) + (-0.02319263 * temperature)"
13,0.11386045,"exp(cube(((TPSA / temperature) + 0.058799427) / density)) + (-0.02319263 * temperature)"
14,0.08984349,"cube(exp(cos(temperature / TPSA) / density)) + (-0.02319263 * temperature)"
16,0.08270373,"(-0.02319263 * temperature) + cube(exp(cos((temperature + density) / TPSA) / density))"
18,0.075727336,"cube(exp(cos((temperature - (density * -1.8362479)) / TPSA) / density)) + (-0.02319263 * temperature)"
19,0.06578949,"(-0.02337932 * temperature) + cube(exp(cos((temperature - (density / -0.5165624)) / TPSA) / sqrt(density)))"
21,0.05090282,"(-0.02319263 * temperature) + cube(exp(cos((((density / -0.4117716) - temperature) * 0.86135525) / TPSA) / sqrt(density)))"
23,0.037491657,"(square(exp(cos((temperature - (density / -0.5165624)) / TPSA) / (sqrt(density) / 2.0551488))) + (-0.031433728 * temperature)) / 1.6224949"
25,0.035571676,"(-0.02319263 * temperature) + cube(exp(cos(((density / -0.4117716) - temperature) / (TPSA - (HallKierAlpha * (temperature * 1.5559969)))) / sqrt(density)))"
26,0.029108398,"(cube(exp(cos(((temperature / 1.1164534) - (density / -0.5161364)) / TPSA) / sqrt(density))) + (-0.02319263 * (sqrt(density) + temperature))) / 1.1164534"
28,0.020041395,"(cube(exp(cos(((temperature / 1.1164534) - (density / -0.5161364)) / TPSA) / sqrt(density))) + (-0.02319263 * ((density / sqrt(temperature)) + temperature))) / 1.1164534"
29,0.020006755,"(cube(exp(cos(((temperature / 1.1164534) - (density / -0.5161364)) / TPSA) / sqrt(density))) + (-0.02319263 * ((density / sqrt(temperature)) + temperature))) / square(-1.0552803)"
30,0.019006362,"(cube(exp(cos(((temperature / 1.1164534) - (density / -0.5161364)) / TPSA) / sqrt(density))) + (-0.02319263 * ((density / sqrt(temperature + 1.266196)) + temperature))) / 1.1164534"
31,0.018964153,"(cube(exp(cos(((temperature / 1.1164534) - (density / -0.5161364)) / TPSA) / sqrt(density))) + (-0.02319263 * ((density / sqrt(temperature - -1.2024461)) + temperature))) / square(-1.0552803)"
32,0.018370174,"(cube(exp(cos(((temperature / 1.1164534) - ((density / -0.5161364) + 0.92071915)) / TPSA) / sqrt(density))) + (-0.02319263 * ((density / sqrt(temperature + 1.266196)) + temperature))) / 1.1164534"
33,0.018364778,"(cube(exp(cos(((temperature / 1.1164534) - (density / -0.5161364)) / TPSA) / sqrt(density))) + (-0.02319263 * ((density / sqrt(temperature + tan(temperature))) + temperature))) / 1.1164534"
34,0.018015385,"(cube(exp(cos(((temperature / 1.1164534) - ((density / -0.5161364) + 0.92071915)) / TPSA) / sqrt(density))) + (-0.02319263 * (((density / sqrt(temperature + 1.266196)) / 0.9164755) + temperature))) / 1.1164534"
35,0.017721565,"(cube(exp(cos((((temperature / 1.1164534) - 0.9029117) - (density / -0.5161364)) / TPSA) / sqrt(density))) + (-0.02319263 * ((density / sqrt(temperature + tan(temperature))) + temperature))) / 1.1164534"
