Filename,Equation,Complexity,Fulfillment
pySR_all_add_features_manual_sampled_normalized_iter500_0214,temperature**3/(-Sigma + sin(log(nu + (density + 0.050542768)**2)**3) + 0.25130412)**3 + 0.017358396*log(density),23,True
pySR_all_add_features_manual_normalized_iter500_1451,1.07484499541926e-8*density**3*(-0.36000234 + temperature/(1.5191836*density))**3*(-nu**2 + temperature)**3 - temperature**2/(nu/(density**3)),25,False
pySR_all_add_features_manual_normalized_iter500_1621,-tan(2.052097e-5*nu**3*(temperature**2 - 2.28621425025181*cos(log(density) - sin(exp(Sigma)) + 0.22960478) + 0.32826197)/cos(density)),34,False
pySR_all_add_features_manual_sampled_normalized_iter500_0200,(0.048223045*temperature**2/cos(0.23101789*nu - sqrt(density**3/temperature**3)) + 0.057969607)/cos(sinh(density)),27,False
pySR_all_add_features_manual_sampled_normalized_iter500_0147,0.126133860372467*density - 0.126133860372467*cosh(temperature - sin(density**9 - exp(Sigma))/(exp(density**3*sqrt(nu)/temperature) - 0.24731004)),31,False
pySR_all_add_features_manual_sampled_normalized_iter500_0131,tan((0.0688216086603928*temperature**2)/(density**2 - 1*1.7977865) - sin(tan(nu**3)/((nu*exp(density)/temperature)))**3),30,True
pySR_all_add_features_manual_normalized_iter500_1602,-0.044732854*temperature*(density**3*(temperature - 0.32598716)**(3/2) - density + temperature + (-density - sqrt(nu) + nu/Sigma)**4),26,True
pySR_all_add_features_manual_sampled_normalized_iter500_0227,-0.224795116916927*(0.880065546127279*density**3 + 0.692206358621454*temperature - 1)**2 - 0.1077105*tan(sqrt(nu + temperature - exp(density) + 0.71808714)),24,False
pySR_all_add_features_manual_normalized_iter500_1516,-0.0137211652977941*(density**3 + temperature)**3 - 0.19554488/(density**2 - nu + exp(Sigma)),17,False
pySR_all_add_features_manual_normalized_iter500_1543,sinh((density**3 + tan(sqrt(-density + nu)))*(-0.07560778*temperature**2 + 0.07560778*cos(log(density)))),24,False
