Complexity,Loss,Equation
1,0.50463986,"-0.30131805"
2,0.50463974,"sinh(-0.2970092)"
3,0.104925014,"-0.72188824 + real_ufrac"
5,0.033219203,"real_ufrac + (-3.3460907e-5 * density)"
6,0.0052318578,"sin(density * -4.950233e-5) + real_ufrac"
8,0.003945354,"sin(tan(sin(-4.7561778e-5 * density))) + real_ufrac"
9,0.0032484832,"real_ufrac - cube(sin(exp(cos(log(sqrt(density))))))"
10,0.0031730605,"real_ufrac - cube(sin(exp(sin(cos(log(sqrt(density)))))))"
11,0.002989295,"real_ufrac - cube(sin(sin(cos(log(sqrt(density)))) - -1.0451021))"
12,0.0028667145,"real_ufrac - cube(sin(sin(sin(cos(log(sqrt(density))))) - -1.0451021))"
13,0.0028426966,"sin(tan(cube(cube(sin(log(sqrt(sqrt(density))) - -2.0258734))))) + real_ufrac"
15,0.0020790782,"real_ufrac + cube(cube(sin((log(sqrt(sqrt(density))) + (0.08276992 * real_ufrac)) - -2.0213716)))"
16,0.002022815,"real_ufrac + cube(cube(sin((log(sqrt(sqrt(density))) + (0.08276992 * sinh(real_ufrac))) - -2.0213716)))"
17,0.0019359568,"cube(cube(sin(((0.11298548 * (real_ufrac - 0.15261284)) + log(sqrt(sqrt(density)))) - -2.0213716))) + real_ufrac"
18,0.0019128056,"cube(cube(sin(((0.11298548 * sin(real_ufrac - 0.15261284)) + log(sqrt(sqrt(density)))) - -2.0213716))) + real_ufrac"
19,0.0019083271,"cube(cube(sin(((0.11298548 * sinh(sin(real_ufrac - 0.15261284))) + log(sqrt(sqrt(density)))) - -2.0213716))) + real_ufrac"
20,0.0016526317,"real_ufrac + cube(sin(log(sqrt((sqrt(inv(cosh(real_ufrac - cube(cosh(cos(0.10367161)))))) * density) + square(-28.190964)))))"
21,0.0016482138,"real_ufrac + cube(sin(log(sqrt((sin(sqrt(inv(cosh(cube(cosh(cos(0.13321547))) - real_ufrac)))) * density) + square(-28.190964)))))"
22,0.0016380962,"real_ufrac + cube(sin(log(sqrt(square(-23.626846 / 0.81255245) + (sqrt(inv(cosh(cube(cosh(cos(-21.927547))) - real_ufrac))) * density)))))"
23,0.0016376048,"real_ufrac + cube(sin(log(sqrt(square(-23.626846 / 0.81255245) + (density * sin(sqrt(inv(cosh(cube(cosh(cos(0.1026327))) - real_ufrac)))))))))"
24,0.0016374877,"real_ufrac + cube(sin(log(sqrt(square(23.445393 / -0.8015728) + (sqrt(inv(cosh(sin(sinh(real_ufrac)) - cube(cosh(cos(-0.008764604)))))) * density)))))"
25,0.0016341025,"real_ufrac + cube(sin(log(sqrt(square(23.445393 / -0.8015728) + (sinh(sqrt(inv(cosh(sin(sinh(real_ufrac)) - cube(cosh(cos(-0.008764604))))))) * density)))))"
26,0.0016327759,"real_ufrac + cube(sin(log(sqrt(square(23.445393 / 0.80672044) + (sqrt(inv(cosh(sin(sinh(real_ufrac)) - cube(cosh(square(cos(inv(23.445393)))))))) * density)))))"
27,0.001619426,"real_ufrac + cube(sin(log(sqrt(square(-23.626846 / 0.81255245) + (density * sqrt(inv(cosh(cube(cosh(cos((density * -4.950233e-5) / cube(2.2728677)))) - real_ufrac))))))))"
28,0.001614624,"real_ufrac + cube(sin(log(sqrt(square(-23.626846 / 0.81255245) + (density * sqrt(inv(cosh(cube(cosh(cos((density * -4.950233e-5) / exp(2.2728677)))) - sin(real_ufrac)))))))))"
29,0.001556057,"real_ufrac + cube(sin(log(sqrt(square(23.694818 / 0.81255245) + (density * sqrt(inv(cosh(cube(cosh(cos(square(cube(sin(cube(sin(density * -4.950233e-5)))))))) - real_ufrac))))))))"
30,0.0015518302,"real_ufrac + cube(sin(log(sqrt(square(23.694818 / 0.81255245) + (density * sqrt(inv(cosh(cube(cosh(cos(square(cube(sin(cube(square(sin(density * -4.950233e-5))))))))) - real_ufrac))))))))"
31,0.0015491995,"real_ufrac + cube(sin(log(sqrt(square(23.694818 / 0.81255245) + (density * sqrt(inv(cosh(cube(cosh(cos(square(cube(sin(cube(sin(density * -4.950233e-5)))))))) - sinh(sin(real_ufrac))))))))))"
32,0.0015483284,"real_ufrac + cube(sin(log(sqrt(square(23.694818 / 0.81255245) + (density * sqrt(inv(cosh(cube(cosh(cos(square(cube(sin(cube(square(sin(density * -4.950233e-5))))))))) - sinh(sin(real_ufrac))))))))))"
33,0.0015437518,"real_ufrac + cube(sin(log(sqrt(square(-23.626846 / 0.81255245) + (density * sqrt(inv(cosh(cube(cosh(cos(cube(cube(sin(density * -4.950233e-5))) / (sqrt(cube(2.2728677)) + real_ufrac)))) - real_ufrac))))))))"
34,0.0015401428,"cube(sin(log(sqrt(square(-23.626846 / 0.8105072) + (density * sqrt(inv(cosh(cube(cosh(cos(sinh(cube(cube(sin(density * -4.950233e-5)))) / (sqrt(cube(2.2728677)) + real_ufrac)))) - real_ufrac)))))))) + real_ufrac"
35,0.0015372923,"cube(sin(log(sqrt(square(-23.626846 / 0.8105072) + (density * sqrt(inv(cosh(cube(cosh(cos(sinh(cube(cube(sin(density * -4.950233e-5)))) / (sqrt(cube(2.2728677)) + tan(real_ufrac))))) - real_ufrac)))))))) + real_ufrac"
